experiment,voltage_kv,target_mn_ratio,w_intersect,w_dist,distance_prune_pct,nodes,edges,mn_ratio,mean_degree,max_degree,mean_length_km,median_length_km,max_length_km,intersection_rate_pct,error_score,elapsed_s
mn1.45_wint0_wd1.242_pr98.0,345,1.45,0,1.242,98.0,259,380,1.4672,2.93,10,32.95,26.05,229.41,14.74,0.1633,3.4
mn1.45_wint0_wd0.8_pr95.0,345,1.45,0,0.8,95.0,259,380,1.4672,2.93,10,33.62,26.05,229.41,14.74,0.159,3.7
mn1.45_wint0_wd0.8_pr98.0,345,1.45,0,0.8,98.0,259,380,1.4672,2.93,10,33.62,26.05,229.41,14.74,0.159,3.4
mn1.55_wint500_wd1.242_pr95.0,345,1.55,500,1.242,95.0,259,405,1.5637,3.13,13,34.34,26.54,229.41,3.7,0.1901,4.0
mn1.55_wint500_wd1.242_pr98.0,345,1.55,500,1.242,98.0,259,405,1.5637,3.13,13,34.34,26.54,229.41,3.7,0.1901,3.7
mn1.55_wint500_wd0.8_pr95.0,345,1.55,500,0.8,95.0,259,405,1.5637,3.13,13,34.5,26.54,229.41,3.7,0.1891,3.7
mn1.55_wint500_wd0.8_pr98.0,345,1.55,500,0.8,98.0,259,405,1.5637,3.13,13,34.5,26.54,229.41,3.7,0.1891,3.6
mn1.55_wint100_wd1.242_pr95.0,345,1.55,100,1.242,95.0,259,405,1.5637,3.13,13,34.49,26.54,229.41,5.68,0.1419,3.6
mn1.55_wint100_wd1.242_pr98.0,345,1.55,100,1.242,98.0,259,405,1.5637,3.13,13,34.49,26.54,229.41,5.68,0.1419,3.6
mn1.55_wint100_wd0.8_pr95.0,345,1.55,100,0.8,95.0,259,405,1.5637,3.13,12,35.16,26.42,229.41,5.19,0.1493,3.7
mn1.55_wint100_wd0.8_pr98.0,345,1.55,100,0.8,98.0,259,405,1.5637,3.13,12,35.16,26.42,229.41,5.19,0.1493,3.6
mn1.55_wint25_wd1.242_pr95.0,345,1.55,25,1.242,95.0,259,405,1.5637,3.13,11,34.27,26.35,186.8,9.14,0.0607,3.6
mn1.55_wint25_wd1.242_pr98.0,345,1.55,25,1.242,98.0,259,405,1.5637,3.13,11,34.27,26.35,186.8,9.14,0.0607,3.6
mn1.55_wint25_wd0.8_pr95.0,345,1.55,25,0.8,95.0,259,405,1.5637,3.13,14,34.83,26.35,373.61,6.67,0.1161,3.6
mn1.55_wint25_wd0.8_pr98.0,345,1.55,25,0.8,98.0,259,405,1.5637,3.13,14,34.83,26.35,373.61,6.67,0.1161,3.6
mn1.55_wint0_wd1.242_pr95.0,345,1.55,0,1.242,95.0,259,405,1.5637,3.13,13,32.56,26.08,229.41,15.06,0.1507,3.6
mn1.55_wint0_wd1.242_pr98.0,345,1.55,0,1.242,98.0,259,405,1.5637,3.13,13,32.56,26.08,229.41,15.06,0.1507,3.7
mn1.55_wint0_wd0.8_pr95.0,345,1.55,0,0.8,95.0,259,405,1.5637,3.13,14,33.18,26.48,229.41,15.56,0.1585,3.8
mn1.55_wint0_wd0.8_pr98.0,345,1.55,0,0.8,98.0,259,405,1.5637,3.13,14,33.18,26.48,229.41,15.56,0.1585,3.7
baseline,115,1.22,500,1.242,95.0,3270,4000,1.2232,2.45,13,9.82,7.57,78.85,1.12,0.3232,34.6
mn1.28_wint25_wd1.242,115,1.28,25,1.242,95.0,3270,4192,1.282,2.56,13,9.95,7.92,78.85,1.55,0.2941,43.3
mn1.28_wint0_wd1.242,115,1.28,0,1.242,95.0,3270,4192,1.282,2.56,11,9.66,7.87,78.85,14.1,0.1674,39.4
