gen_uid,plant_code,generator_id,lat,lon,nameplate_mw,summer_mw,winter_mw,min_load_mw,pmax_mw,fuel_code,fuel,prime_mover,unit_type,technology,grid_kv
EIA_2494_GT38,2494,GT38,40.6635,-74.0051,20.0,19.0,24.8,16.0,19.0,NG,Gas,GT,GT,Natural Gas Fired Combustion Turbine,138.0
EIA_2494_GT41,2494,GT41,40.6635,-74.0051,20.0,16.8,21.9,16.0,16.8,DFO,Oil,GT,GT,Petroleum Liquids,138.0
EIA_2494_GT42,2494,GT42,40.6635,-74.0051,20.0,17.3,22.6,16.0,17.3,DFO,Oil,GT,GT,Petroleum Liquids,138.0
EIA_2494_GT43,2494,GT43,40.6635,-74.0051,20.0,17.6,23.0,16.0,17.6,DFO,Oil,GT,GT,Petroleum Liquids,138.0
EIA_2494_GT44,2494,GT44,40.6635,-74.0051,20.0,17.1,22.3,15.8,17.1,DFO,Oil,GT,GT,Petroleum Liquids,138.0
EIA_2494_GT45,2494,GT45,40.6635,-74.0051,20.0,17.1,22.3,15.7,17.1,DFO,Oil,GT,GT,Petroleum Liquids,138.0
EIA_2494_GT46,2494,GT46,40.6635,-74.0051,20.0,18.6,24.3,16.0,18.6,DFO,Oil,GT,GT,Petroleum Liquids,138.0
EIA_2494_GT47,2494,GT47,40.6635,-74.0051,20.0,16.6,21.7,14.0,16.6,DFO,Oil,GT,GT,Petroleum Liquids,138.0
EIA_2494_GT48,2494,GT48,40.6635,-74.0051,20.0,19.0,24.8,16.0,19.0,DFO,Oil,GT,GT,Petroleum Liquids,138.0
EIA_2499_NT11,2499,NT11,40.648611,-74.020833,22.0,21.0,27.4,16.0,21.0,NG,Gas,GT,GT,Natural Gas Fired Combustion Turbine,138.0
EIA_2499_NT12,2499,NT12,40.648611,-74.020833,22.0,19.5,25.5,16.0,19.5,NG,Gas,GT,GT,Natural Gas Fired Combustion Turbine,138.0
EIA_2499_NT13,2499,NT13,40.648611,-74.020833,22.0,20.4,26.6,16.0,20.4,NG,Gas,GT,GT,Natural Gas Fired Combustion Turbine,138.0
EIA_2499_NT14,2499,NT14,40.648611,-74.020833,22.0,20.1,26.3,16.0,20.1,NG,Gas,GT,GT,Natural Gas Fired Combustion Turbine,138.0
EIA_2499_NT15,2499,NT15,40.648611,-74.020833,22.0,19.8,25.9,16.0,19.8,NG,Gas,GT,GT,Natural Gas Fired Combustion Turbine,138.0
EIA_2499_NT16,2499,NT16,40.648611,-74.020833,22.0,18.9,24.7,15.7,18.9,NG,Gas,GT,GT,Natural Gas Fired Combustion Turbine,138.0
EIA_2499_NT17,2499,NT17,40.648611,-74.020833,22.0,18.4,24.0,15.6,18.4,NG,Gas,GT,GT,Natural Gas Fired Combustion Turbine,138.0
EIA_2499_NT18,2499,NT18,40.648611,-74.020833,22.0,19.9,26.0,16.0,19.9,NG,Gas,GT,GT,Natural Gas Fired Combustion Turbine,138.0
EIA_2499_NT21,2499,NT21,40.648611,-74.020833,22.0,19.4,25.3,16.0,19.4,NG,Gas,GT,GT,Natural Gas Fired Combustion Turbine,138.0
EIA_2499_NT22,2499,NT22,40.648611,-74.020833,22.0,18.7,24.4,16.0,18.7,NG,Gas,GT,GT,Natural Gas Fired Combustion Turbine,138.0
EIA_2499_NT23,2499,NT23,40.648611,-74.020833,22.0,18.4,24.0,16.0,18.4,NG,Gas,GT,GT,Natural Gas Fired Combustion Turbine,138.0
EIA_2499_NT24,2499,NT24,40.648611,-74.020833,22.0,18.4,24.0,16.0,18.4,NG,Gas,GT,GT,Natural Gas Fired Combustion Turbine,138.0
EIA_2499_NT25,2499,NT25,40.648611,-74.020833,22.0,19.9,26.0,16.0,19.9,NG,Gas,GT,GT,Natural Gas Fired Combustion Turbine,138.0
EIA_2499_NT26,2499,NT26,40.648611,-74.020833,22.0,18.1,23.6,15.3,18.1,NG,Gas,GT,GT,Natural Gas Fired Combustion Turbine,138.0
EIA_2499_NT27,2499,NT27,40.648611,-74.020833,22.0,20.7,27.0,16.0,20.7,NG,Gas,GT,GT,Natural Gas Fired Combustion Turbine,138.0
EIA_2499_NT28,2499,NT28,40.648611,-74.020833,22.0,17.5,22.9,15.7,17.5,NG,Gas,GT,GT,Natural Gas Fired Combustion Turbine,138.0
EIA_2500_1,2500,1,40.759167,-73.946111,400.0,368.5,375.8,75.0,368.5,NG,Gas,ST,ST,Natural Gas Steam Turbine,348.0
EIA_2500_2,2500,2,40.759167,-73.946111,400.0,374.5,374.3,75.0,374.5,NG,Gas,ST,ST,Natural Gas Steam Turbine,348.0
EIA_2500_3,2500,3,40.759167,-73.946111,1027.0,987.3,968.3,150.0,987.3,NG,Gas,ST,ST,Natural Gas Steam Turbine,348.0
EIA_2500_4,2500,4,40.759167,-73.946111,181.0,150.4,185.8,115.0,150.4,NG,Gas,CT,CC,Natural Gas Fired Combined Cycle,348.0
EIA_2500_4S,2500,4S,40.759167,-73.946111,87.5,72.8,89.8,0.0,72.8,NG,Gas,CA,CC,Natural Gas Fired Combined Cycle,348.0
EIA_2503_GT1,2503,GT1,40.771285,-73.99115,17.1,13.9,17.4,3.0,13.9,NG,Gas,GT,GT,Natural Gas Fired Combustion Turbine,13.8
EIA_2504_GT1,2504,GT1,40.768,-73.9515,18.5,18.5,21.7,8.0,18.5,KER,Oil,GT,GT,Petroleum Liquids,13.8
EIA_2504_GT2,2504,GT2,40.768,-73.9515,18.5,19.3,21.9,8.0,19.3,KER,Oil,GT,GT,Petroleum Liquids,13.8
EIA_2511_10,2511,10,40.616689,-73.647881,41.8,40.6,50.0,30.0,40.6,NG,Gas,GT,GT,Natural Gas Fired Combustion Turbine,138.0
EIA_2511_11,2511,11,40.616689,-73.647881,41.8,40.1,50.5,30.0,40.1,NG,Gas,GT,GT,Natural Gas Fired Combustion Turbine,138.0
EIA_2511_12,2511,12,40.616689,-73.647881,41.8,40.9,48.7,30.0,40.9,NG,Gas,GT,GT,Natural Gas Fired Combustion Turbine,138.0
EIA_2511_3,2511,3,40.616689,-73.647881,18.0,17.7,20.2,10.5,17.7,NG,Gas,GT,GT,Natural Gas Fired Combustion Turbine,138.0
EIA_2511_4,2511,4,40.616689,-73.647881,18.0,16.8,20.5,11.4,16.8,NG,Gas,GT,GT,Natural Gas Fired Combustion Turbine,138.0
EIA_2511_5,2511,5,40.616689,-73.647881,18.0,17.6,20.1,11.0,17.6,NG,Gas,GT,GT,Natural Gas Fired Combustion Turbine,138.0
EIA_2511_6,2511,6,40.616689,-73.647881,18.0,16.4,19.9,11.2,16.4,NG,Gas,GT,GT,Natural Gas Fired Combustion Turbine,138.0
EIA_2511_8,2511,8,40.616689,-73.647881,18.0,15.1,15.2,11.4,15.1,NG,Gas,GT,GT,Natural Gas Fired Combustion Turbine,138.0
EIA_2511_9,2511,9,40.616689,-73.647881,41.8,41.2,49.2,29.8,41.2,NG,Gas,GT,GT,Natural Gas Fired Combustion Turbine,138.0
EIA_2511_GT1,2511,GT1,40.616689,-73.647881,18.0,17.4,20.5,10.7,17.4,NG,Gas,GT,GT,Natural Gas Fired Combustion Turbine,138.0
EIA_2511_GT2,2511,GT2,40.616689,-73.647881,18.0,17.6,20.4,9.0,17.6,NG,Gas,GT,GT,Natural Gas Fired Combustion Turbine,138.0
EIA_2511_ST1,2511,ST1,40.616689,-73.647881,188.0,194.2,199.5,15.0,194.2,NG,Gas,ST,ST,Natural Gas Steam Turbine,138.0
EIA_2511_ST2,2511,ST2,40.616689,-73.647881,188.0,178.0,190.5,15.0,178.0,NG,Gas,ST,ST,Natural Gas Steam Turbine,138.0
EIA_2512_1,2512,1,40.961706,-72.210277,21.3,19.2,24.0,15.4,19.2,DFO,Oil,GT,GT,Petroleum Liquids,69.0
EIA_2512_2,2512,2,40.961706,-72.210277,2.0,2.0,2.0,2.0,2.0,DFO,Oil,IC,IC,Petroleum Liquids,69.0
EIA_2512_3,2512,3,40.961706,-72.210277,2.0,2.0,2.1,2.0,2.0,DFO,Oil,IC,IC,Petroleum Liquids,69.0
EIA_2512_4,2512,4,40.961706,-72.210277,2.0,2.0,2.1,1.9,2.0,DFO,Oil,IC,IC,Petroleum Liquids,69.0
EIA_2514_GT2,2514,GT2,40.827149,-73.647473,55.0,49.0,55.1,40.0,49.0,DFO,Oil,GT,GT,Petroleum Liquids,69.0
EIA_2514_GT3,2514,GT3,40.827149,-73.647473,55.0,55.1,68.6,44.1,55.1,DFO,Oil,GT,GT,Petroleum Liquids,69.0
EIA_2516_2,2516,2,40.923565,-73.342323,387.0,398.0,399.0,40.0,398.0,NG,Gas,ST,ST,Natural Gas Steam Turbine,138.0
EIA_2516_3,2516,3,40.923565,-73.342323,387.0,398.5,394.2,30.0,398.5,NG,Gas,ST,ST,Natural Gas Steam Turbine,138.0
EIA_2516_4,2516,4,40.923565,-73.342323,387.0,398.0,396.5,40.0,398.0,NG,Gas,ST,ST,Natural Gas Steam Turbine,138.0
EIA_2516_GT1,2516,GT1,40.923565,-73.342323,16.0,11.8,15.8,10.6,11.8,DFO,Oil,GT,GT,Petroleum Liquids,138.0
EIA_2516_ST1,2516,ST1,40.923565,-73.342323,387.0,397.7,396.2,40.0,397.7,NG,Gas,ST,ST,Natural Gas Steam Turbine,138.0
EIA_2517_3,2517,3,40.949696,-73.078507,188.0,192.0,189.2,15.0,192.0,NG,Gas,ST,ST,Natural Gas Steam Turbine,138.0
EIA_2517_4,2517,4,40.949696,-73.078507,188.0,193.0,194.7,15.0,193.0,NG,Gas,ST,ST,Natural Gas Steam Turbine,138.0
EIA_2517_GT1,2517,GT1,40.949696,-73.078507,16.0,12.9,16.6,10.6,12.9,DFO,Oil,GT,GT,Petroleum Liquids,138.0
EIA_2517_GT2,2517,GT2,40.949696,-73.078507,53.0,42.6,46.7,37.0,42.6,NG,Gas,GT,GT,Natural Gas Fired Combustion Turbine,138.0
EIA_2517_GT3,2517,GT3,40.949696,-73.078507,53.0,40.1,47.1,37.0,40.1,NG,Gas,GT,GT,Natural Gas Fired Combustion Turbine,138.0
EIA_2518_GT1,2518,GT1,40.96159,-72.864976,52.9,49.8,65.0,39.4,49.8,DFO,Oil,GT,GT,Petroleum Liquids,138.0
EIA_2518_GT2,2518,GT2,40.96159,-72.864976,18.6,15.9,19.7,12.0,15.9,DFO,Oil,GT,GT,Petroleum Liquids,138.0
EIA_2519_1,2519,1,40.899997,-72.381977,11.5,8.5,10.4,6.6,8.5,DFO,Oil,GT,GT,Petroleum Liquids,69.0
EIA_2520_1,2520,1,41.1059,-72.3761,14.0,10.0,9.0,7.3,10.0,DFO,Oil,GT,GT,Petroleum Liquids,69.0
EIA_2522_2,2522,2,44.695,-73.6219,1.2,1.2,1.2,0.0,1.2,WAT,Hydro,HY,HY,Conventional Hydroelectric,11.0
EIA_2522_3,2522,3,44.695,-73.6219,3.1,3.1,3.1,0.0,3.1,WAT,Hydro,HY,HY,Conventional Hydroelectric,11.0
EIA_2527_4,2527,4,42.6789,-76.9483,112.0,104.5,106.3,32.0,104.5,NG,Gas,ST,ST,Natural Gas Steam Turbine,115.0
EIA_2528_1,2528,1,43.9719,-74.1861,1.7,1.7,1.7,1.7,1.7,DFO,Oil,IC,IC,Petroleum Liquids,2.4
EIA_2528_2,2528,2,43.9719,-74.1861,2.5,2.3,2.3,2.3,2.3,DFO,Oil,IC,IC,Petroleum Liquids,2.4
EIA_2530_1,2530,1,44.6389,-73.7492,4.0,4.0,4.0,0.0,4.0,WAT,Hydro,HY,HY,Conventional Hydroelectric,6.9
EIA_2530_3,2530,3,44.6389,-73.7492,7.0,7.0,7.0,0.0,7.0,WAT,Hydro,HY,HY,Conventional Hydroelectric,6.9
EIA_2539_5,2539,5,42.594196,-73.763752,194.3,178.4,205.8,170.0,178.4,NG,Gas,CT,CC,Natural Gas Fired Combined Cycle,115.0
EIA_2539_6,2539,6,42.594196,-73.763752,194.3,179.7,205.8,170.0,179.7,NG,Gas,CT,CC,Natural Gas Fired Combined Cycle,115.0
EIA_2539_7,2539,7,42.594196,-73.763752,194.3,177.9,205.8,170.0,177.9,NG,Gas,CT,CC,Natural Gas Fired Combined Cycle,115.0
EIA_2539_8,2539,8,42.594196,-73.763752,310.2,279.5,307.3,170.0,279.5,NG,Gas,CA,CC,Natural Gas Fired Combined Cycle,115.0
EIA_2540_1,2540,1,44.660338,-74.860265,4.0,3.5,5.0,3.5,3.5,WAT,Hydro,HY,HY,Conventional Hydroelectric,115.0
EIA_2543_1,2543,1,43.019113,-74.741349,10.0,8.5,8.9,4.0,8.5,WAT,Hydro,HY,HY,Conventional Hydroelectric,115.0
EIA_2543_2,2543,2,43.019113,-74.741349,10.0,8.1,7.8,4.0,8.1,WAT,Hydro,HY,HY,Conventional Hydroelectric,115.0
EIA_2544_1,2544,1,43.9275,-75.3331,0.4,0.4,0.4,0.2,0.4,WAT,Hydro,HY,HY,Conventional Hydroelectric,23.0
EIA_2544_2,2544,2,43.9275,-75.3331,0.6,0.5,0.5,0.4,0.5,WAT,Hydro,HY,HY,Conventional Hydroelectric,23.0
EIA_2544_3,2544,3,43.9275,-75.3331,1.0,0.9,0.9,0.7,0.9,WAT,Hydro,HY,HY,Conventional Hydroelectric,23.0
EIA_2545_1,2545,1,43.5317,-75.9531,9.0,8.4,7.0,3.0,8.4,WAT,Hydro,HY,HY,Conventional Hydroelectric,115.0
EIA_2545_2,2545,2,43.5317,-75.9531,9.0,8.4,7.5,3.0,8.4,WAT,Hydro,HY,HY,Conventional Hydroelectric,115.0
EIA_2545_3,2545,3,43.5317,-75.9531,9.0,6.3,7.3,3.0,6.3,WAT,Hydro,HY,HY,Conventional Hydroelectric,115.0
EIA_2545_4,2545,4,43.5317,-75.9531,9.0,7.2,7.3,3.0,7.2,WAT,Hydro,HY,HY,Conventional Hydroelectric,115.0
EIA_2546_1,2546,1,44.000122,-75.813151,2.0,1.5,2.3,1.5,1.5,WAT,Hydro,HY,HY,Conventional Hydroelectric,23.0
EIA_2546_2,2546,2,44.000122,-75.813151,2.0,1.5,2.3,1.5,1.5,WAT,Hydro,HY,HY,Conventional Hydroelectric,23.0
EIA_2546_3,2546,3,44.000122,-75.813151,2.0,1.5,2.3,1.5,1.5,WAT,Hydro,HY,HY,Conventional Hydroelectric,23.0
EIA_2547_1,2547,1,44.506474,-74.753442,15.0,14.2,14.5,1.0,14.2,WAT,Hydro,HY,HY,Conventional Hydroelectric,115.0
EIA_2548_1,2548,1,44.211407,-75.059441,8.0,7.9,7.6,7.0,7.9,WAT,Hydro,HY,HY,Conventional Hydroelectric,115.0
EIA_2548_2,2548,2,44.211407,-75.059441,8.0,7.9,7.6,7.0,7.9,WAT,Hydro,HY,HY,Conventional Hydroelectric,115.0
EIA_2550_1,2550,1,44.7533,-74.2169,1.0,0.5,0.6,0.5,0.5,WAT,Hydro,HY,HY,Conventional Hydroelectric,34.5
EIA_2550_2,2550,2,44.7533,-74.2169,1.0,0.5,0.6,0.5,0.5,WAT,Hydro,HY,HY,Conventional Hydroelectric,34.5
EIA_2550_3,2550,3,44.7533,-74.2169,1.0,0.6,0.7,0.6,0.6,WAT,Hydro,HY,HY,Conventional Hydroelectric,34.5
EIA_2551_1,2551,1,44.5839,-74.9583,10.0,9.9,9.7,0.2,9.9,WAT,Hydro,HY,HY,Conventional Hydroelectric,115.0
EIA_2551_2,2551,2,44.5839,-74.9583,10.0,10.3,9.9,0.2,10.3,WAT,Hydro,HY,HY,Conventional Hydroelectric,115.0
EIA_2551_3,2551,3,44.5839,-74.9583,10.0,9.5,11.1,0.2,9.5,WAT,Hydro,HY,HY,Conventional Hydroelectric,115.0
EIA_2552_1,2552,1,44.0381,-75.6806,4.0,3.6,3.6,2.8,3.6,WAT,Hydro,HY,HY,Conventional Hydroelectric,23.0
EIA_2552_2,2552,2,44.0381,-75.6806,4.0,3.6,3.6,2.8,3.6,WAT,Hydro,HY,HY,Conventional Hydroelectric,23.0
EIA_2552_3,2552,3,44.0381,-75.6806,4.0,3.6,3.6,2.8,3.6,WAT,Hydro,HY,HY,Conventional Hydroelectric,23.0
EIA_2555_1,2555,1,43.909714,-75.200831,2.0,1.4,1.1,1.1,1.4,WAT,Hydro,HY,HY,Conventional Hydroelectric,115.0
EIA_2555_2,2555,2,43.909714,-75.200831,1.0,1.2,1.0,1.0,1.2,WAT,Hydro,HY,HY,Conventional Hydroelectric,115.0
EIA_2555_3,2555,3,43.909714,-75.200831,1.0,1.2,1.0,1.0,1.2,WAT,Hydro,HY,HY,Conventional Hydroelectric,115.0
EIA_2555_4,2555,4,43.909714,-75.200831,2.0,2.0,1.8,1.8,2.0,WAT,Hydro,HY,HY,Conventional Hydroelectric,115.0
EIA_2556_1,2556,1,44.638365,-75.49052,0.5,0.4,0.4,0.4,0.4,WAT,Hydro,HY,HY,Conventional Hydroelectric,23.0
EIA_2556_2,2556,2,44.638365,-75.49052,1.0,0.8,0.8,0.8,0.8,WAT,Hydro,HY,HY,Conventional Hydroelectric,23.0
EIA_2556_3,2556,3,44.638365,-75.49052,1.0,0.8,0.8,0.8,0.8,WAT,Hydro,HY,HY,Conventional Hydroelectric,23.0
EIA_2557_1,2557,1,43.922831,-75.277923,0.4,0.4,0.4,0.4,0.4,WAT,Hydro,HY,HY,Conventional Hydroelectric,23.0
EIA_2557_2,2557,2,43.922831,-75.277923,0.4,0.4,0.4,0.4,0.4,WAT,Hydro,HY,HY,Conventional Hydroelectric,23.0
EIA_2557_3,2557,3,43.922831,-75.277923,0.6,0.4,0.4,0.4,0.4,WAT,Hydro,HY,HY,Conventional Hydroelectric,23.0
EIA_2557_4,2557,4,43.922831,-75.277923,1.6,1.7,1.4,1.4,1.7,WAT,Hydro,HY,HY,Conventional Hydroelectric,23.0
EIA_2559_1,2559,1,43.927536,-75.288322,1.0,1.0,1.0,0.7,1.0,WAT,Hydro,HY,HY,Conventional Hydroelectric,23.0
EIA_2559_2,2559,2,43.927536,-75.288322,1.0,1.0,1.0,0.7,1.0,WAT,Hydro,HY,HY,Conventional Hydroelectric,23.0
EIA_2560_1,2560,1,43.0092,-74.5372,1.0,0.9,0.9,0.2,0.9,WAT,Hydro,HY,HY,Conventional Hydroelectric,23.0
EIA_2560_2,2560,2,43.0092,-74.5372,1.0,0.9,1.0,0.2,0.9,WAT,Hydro,HY,HY,Conventional Hydroelectric,23.0
EIA_2560_3,2560,3,43.0092,-74.5372,1.0,0.9,1.0,0.2,0.9,WAT,Hydro,HY,HY,Conventional Hydroelectric,23.0
EIA_2560_4,2560,4,43.0092,-74.5372,1.0,1.0,1.0,0.2,1.0,WAT,Hydro,HY,HY,Conventional Hydroelectric,23.0
EIA_2561_1,2561,1,44.7989,-74.9856,4.0,4.1,4.0,0.9,4.1,WAT,Hydro,HY,HY,Conventional Hydroelectric,23.0
EIA_2562_1,2562,1,44.527491,-74.849177,24.0,22.4,23.5,1.0,22.4,WAT,Hydro,HY,HY,Conventional Hydroelectric,115.0
EIA_2563_1,2563,1,44.2217,-75.0742,2.0,2.4,2.4,1.4,2.4,WAT,Hydro,HY,HY,Conventional Hydroelectric,115.0
EIA_2563_2,2563,2,44.2217,-75.0742,3.0,2.8,2.8,2.5,2.8,WAT,Hydro,HY,HY,Conventional Hydroelectric,115.0
EIA_2564_1,2564,1,44.4372,-73.9725,1.0,0.9,0.9,0.8,0.9,WAT,Hydro,HY,HY,Conventional Hydroelectric,46.0
EIA_2564_2,2564,2,44.4372,-73.9725,1.0,1.1,1.1,1.0,1.1,WAT,Hydro,HY,HY,Conventional Hydroelectric,46.0
EIA_2566_1,2566,1,43.32411,-76.418984,0.8,0.1,0.7,0.1,0.1,WAT,Hydro,HY,HY,Conventional Hydroelectric,34.5
EIA_2566_2,2566,2,43.32411,-76.418984,0.5,0.1,0.3,0.1,0.1,WAT,Hydro,HY,HY,Conventional Hydroelectric,34.5
