GEN,UnitOnT0State,PowerGeneratedT0
EIA_10521_3A,1000,1.5
EIA_10521_GEN1,1000,8.3
EIA_10521_GEN2,1000,8.3
EIA_10521_GEN3,1000,2.2
EIA_10521_TG4,1000,1.4
EIA_10530_1,1000,0.9
EIA_10530_2,1000,0.9
EIA_10530_3,1000,1.0
EIA_10530_4,1000,0.9
EIA_10530_5,1000,1.0
EIA_10531_1,1000,4.3
EIA_10531_2,1000,4.3
EIA_10538_GEN1,1000,0.5
EIA_10538_GEN2,1000,0.5
EIA_10538_GEN3,1000,0.2
EIA_10538_GEN4,1000,0.2
EIA_10538_GEN5,1000,0.2
EIA_10538_GEN6,1000,1.2
EIA_10538_GEN7,1000,1.2
EIA_10539_GEN1,1000,1.0
EIA_10539_GEN2,1000,0.3
EIA_10540_GEN1,1000,0.4
EIA_10540_GEN2,1000,0.4
EIA_10540_GEN3,1000,0.4
EIA_10544_GEN1,1000,0.8
EIA_10544_GEN2,1000,0.6
EIA_10545_GEN1,1000,1.4
EIA_10545_GEN2,1000,1.4
EIA_10545_GEN3,1000,0.3
EIA_10547_GEN1,1000,1.1
EIA_10547_GEN2,1000,3.3
EIA_10547_GEN3,1000,3.3
EIA_10617_GEN1,1000,47.5
EIA_10617_GEN2,1000,30.6
EIA_10620_GEN1,1000,40.1
EIA_10620_GEN2,1000,21.0
EIA_10621_GEN1,1000,54.4
EIA_10621_GEN2,1000,28.8
EIA_10642_GEN1,1000,71.8
EIA_10687_DE1,1000,1.5
EIA_10687_RI1,1000,1.8
EIA_10725_GEN1,1000,76.9
EIA_10725_GEN3,1000,272.3
EIA_10725_GEN4,1000,95.2
EIA_10725_GEN5,1000,148.4
EIA_10752_GEN1,1000,3.6
EIA_10753_GEN1,1000,4.9
EIA_10817_GEN1,1000,0.5
EIA_10817_GEN2,1000,0.5
EIA_10848_GEN1,1000,1.1
EIA_10848_GEN2,1000,0.8
EIA_10848_GEN3,1000,0.4
EIA_10853_1,1000,0.3
EIA_10853_2,1000,0.3
EIA_10872_1,1000,0.2
EIA_10902_GEN1,1000,1.6
EIA_50031_3983,1000,1.5
EIA_50031_3986,1000,1.5
EIA_50034_GEN1,1000,2.5
EIA_50079_GEN1,1000,0.8
EIA_50079_GEN2,1000,0.6
EIA_50093_WT,1000,1.6
EIA_50123_GEN1,1000,1.2
EIA_50136_CG1,1000,0.1
EIA_50136_CG2,1000,0.1
EIA_50136_CG3,1000,0.1
EIA_50136_CG4,1000,0.1
EIA_50136_CG5,1000,0.1
EIA_50176_GEN1,1000,1.3
EIA_50176_GEN2,1000,1.3
EIA_50203_GEN1,1000,4.9
EIA_50268_HY1,1000,2.2
EIA_50269_HY1,1000,2.2
EIA_50280_GEN1,1000,1.5
EIA_50292_GEN2,1000,22.2
EIA_50292_GEN3,1000,10.6
EIA_50292_GEN5,1000,47.0
EIA_50292_GEN6,1000,49.0
EIA_50292_GEN7,1000,33.0
EIA_50315_1100,1000,0.5
EIA_50315_2600,1000,0.5
EIA_50354_1,1000,0.8
EIA_50354_2,1000,0.8
EIA_50354_3,1000,0.1
EIA_50368_CT1,1000,12.3
EIA_50368_CT2,1000,12.3
EIA_50368_TG2,1000,5.3
EIA_50416_GEN1,1000,0.2
EIA_50416_GEN2,1000,0.2
EIA_50416_GEN3,1000,0.2
EIA_50416_GEN4,1000,0.2
EIA_50416_GEN5,1000,0.2
EIA_50427_GEN3,1000,1.1
EIA_50427_GEN4,1000,1.5
EIA_50449_GEN1,1000,34.7
EIA_50449_GEN2,1000,17.2
EIA_50450_GEN1,1000,51.8
EIA_50450_GEN2,1000,16.2
EIA_50451_GEN1,1000,43.8
EIA_50451_GEN2,1000,19.3
EIA_50458_GEN1,1000,74.8
EIA_50458_GEN2,1000,54.2
EIA_50472_GEN1,1000,18.0
EIA_50472_GEN2,1000,18.0
EIA_50512_GEN1,1000,14.5
EIA_50512_GEN2,1000,14.5
EIA_50512_GEN3,1000,3.6
EIA_50513_GEN1,1000,2.5
EIA_50514_GEN1,1000,2.5
EIA_50514_GEN2,1000,2.5
EIA_50568_GEN1,1000,0.8
EIA_50568_GEN2,1000,0.8
EIA_50568_GEN3,1000,0.8
EIA_50568_GEN4,1000,0.8
EIA_50568_GEN5,1000,1.6
EIA_50568_GEN6,1000,1.6
EIA_50568_GEN7,1000,1.6
EIA_50568_GEN8,1000,1.6
EIA_50649_GEN1,1000,14.4
EIA_50652_GEN1,1000,1.5
EIA_50652_GEN2,1000,1.5
EIA_50656_GEN1,1000,24.5
EIA_50662_GEN1,1000,30.0
EIA_50744_GEN1,1000,38.8
EIA_50744_GEN2,1000,16.0
EIA_50744_GEN3,1000,1.1
EIA_50759_GEN1,1000,2.1
EIA_50759_GEN2,1000,2.1
EIA_50768_1,1000,3.4
EIA_50882_GEN1,1000,51.0
EIA_50907_UNT1,1000,1.7
EIA_50907_UNT2,1000,1.7
EIA_50978_GEN1,1000,35.0
EIA_50978_GEN2,1000,35.0
EIA_50978_GEN3,1000,23.0
EIA_51033_GEN1,1000,7.0
EIA_51034_GEN1,1000,6.5
EIA_51034_GEN2,1000,6.5
EIA_51038_GEN1,1000,11.0
EIA_52058_01,1000,0.2
EIA_52058_02,1000,0.2
EIA_52058_03,1000,0.2
EIA_52058_04,1000,0.2
EIA_52058_05,1000,0.2
EIA_52091_01-8N,1000,0.8
EIA_52091_02-8P,1000,1.0
EIA_52091_03-8L,1000,1.0
EIA_52168_GEN2,1000,16.0
EIA_52168_GEN3,1000,12.3
EIA_52168_GEN4,1000,12.3
EIA_52168_U0007,1000,1.5
EIA_54034_GEN1,1000,47.0
EIA_54034_GEN2,1000,32.4
EIA_54041_GEN1,1000,43.3
EIA_54041_GEN2,1000,43.3
EIA_54041_GEN3,1000,43.3
EIA_54041_GEN4,1000,78.0
EIA_54076_GEN1,1000,34.1
EIA_54076_GEN2,1000,44.6
EIA_54099_GEN1,1000,41.0
EIA_54114_GEN1,1000,49.0
EIA_54114_GEN2,1000,51.7
EIA_54114_GEN3,1000,26.0
EIA_54131_GEN1,1000,37.4
EIA_54131_GEN2,1000,20.0
EIA_54149_GEN1,1000,44.5
EIA_54391_1,1000,1.5
EIA_54391_2,1000,0.7
EIA_54395_1,1000,1.7
EIA_54395_2,1000,1.7
EIA_54547_1,1000,155.7
EIA_54547_2,1000,155.7
EIA_54547_3,1000,155.7
EIA_54547_4,1000,155.7
EIA_54547_5,1000,167.9
EIA_54547_6,1000,167.9
EIA_54548_1,1000,3.0
EIA_54573_1,1000,1.0
EIA_54574_GEN1,1000,79.4
EIA_54574_GEN2,1000,73.5
EIA_54574_GEN3,1000,85.9
EIA_54580_C1,1000,2.5
EIA_54580_C2,1000,2.5
EIA_54580_C3,1000,2.4
EIA_54580_C4,1000,1.1
EIA_54580_C5,1000,1.1
EIA_54580_P1,1000,25.0
EIA_54580_P2,1000,25.0
EIA_54592_GEN1,1000,46.0
EIA_54592_GEN2,1000,35.0
EIA_54593_GEN1,1000,34.3
EIA_54593_GEN2,1000,14.5
EIA_54691_2G,1000,0.5
EIA_54691_3G,1000,0.5
EIA_54772_GEN1,1000,6.9
EIA_54772_GEN2,1000,6.9
EIA_54782_GE10,1000,0.8
EIA_54782_GE11,1000,0.8
EIA_54782_GE12,1000,0.8
EIA_54782_GE13,1000,0.8
EIA_54782_GE14,1000,0.8
EIA_54782_GE15,1000,1.6
EIA_54782_GE16,1000,1.6
EIA_54782_GE17,1000,1.6
EIA_54782_GE18,1000,1.6
EIA_54782_GEN1,1000,0.8
EIA_54782_GEN2,1000,0.8
EIA_54782_GEN3,1000,0.8
EIA_54782_GEN4,1000,0.8
EIA_54782_GEN5,1000,0.8
EIA_54782_GEN6,1000,0.8
EIA_54782_GEN7,1000,0.8
EIA_54782_GEN8,1000,0.8
EIA_54782_GEN9,1000,0.8
EIA_54808_GT1,1000,5.5
EIA_54808_GT2,1000,5.5
EIA_54865_1-02,1000,1.2
EIA_54865_2-01,1000,1.2
EIA_54878_01,1000,0.4
EIA_54878_02,1000,0.3
EIA_54878_03,1000,0.3
EIA_54914_01,1000,95.0
EIA_54914_02,1000,95.0
EIA_54914_03,1000,35.0
EIA_54914_04,1000,35.0
EIA_54953_GEN1,1000,22.0
EIA_54953_GEN2,1000,22.0
EIA_55155_UNT1,1000,0.9
EIA_55155_UNT2,1000,0.9
EIA_55155_UNT3,1000,0.9
EIA_55155_UNT4,1000,1.6
EIA_55155_UNT5,1000,1.6
EIA_55368_V47,1000,6.6
EIA_55375_CT1,1000,165.0
EIA_55375_CT2,1000,165.0
EIA_55375_ST1,1000,228.0
EIA_55405_CT1,1000,218.7
EIA_55405_CT2,1000,221.5
EIA_55405_CT3,1000,222.1
EIA_55405_ST1,1000,110.7
EIA_55405_ST2,1000,111.8
EIA_55405_ST3,1000,109.0
EIA_55699_1,1000,55.8
EIA_55757_GEN1,1000,0.8
EIA_55757_GEN2,1000,0.8
EIA_55757_GEN3,1000,0.8
EIA_55757_GEN4,1000,0.8
EIA_55757_GEN5,1000,0.8
EIA_55757_GEN6,1000,0.8
EIA_55757_GEN7,1000,0.8
EIA_55769_MADW,1000,11.5
EIA_55786_CT01,1000,42.5
EIA_55786_CT02,1000,42.5
EIA_55787_CT01,1000,42.5
EIA_55787_CT02,1000,42.5
EIA_55790_1,1000,30.0
EIA_56032_0001,1000,45.9
EIA_56032_001,1000,48.1
EIA_56141_2,1000,55.8
EIA_56188_CTG,1000,47.0
EIA_56188_STG,1000,27.5
EIA_56196_CA01,1000,188.0
EIA_56196_CT01,1000,238.0
