STORAGE UID,Bus ID,Discharge Rate MW,Charge Rate MW,Energy Capacity MWh,Initial SOC MWh,Charge Efficiency,Discharge Efficiency,_zone,_mwh_source
CNTRY_BESS1,798,9.9,9.9,24.8,12.4,0.96,0.96,NORTH,eia860
CHIL_SL1_BESS1,1517,153.9,153.9,615.6,307.8,0.96,0.96,NORTH,fallback_4h
CHISMGRD_BES1,798,101.7,101.7,125.0,62.5,0.96,0.96,NORTH,eia860
CISC_BESS,2645,9.9,9.9,9.9,4.95,0.96,0.96,NORTH,eia860
CITRUSCY_BESS1,330,9.9,9.9,19.8,9.9,0.96,0.96,SOUTH,fallback_2h
X4_SWRI,1346,10.0,10.0,10.0,5.0,0.96,0.96,SOUTH,eia860
CNLY_ESS_BESS_1,2304,125.4,125.4,501.6,250.8,0.96,0.96,NORTH,fallback_4h
CONTINEN_BESS1,322,9.9,9.9,19.8,9.9,0.96,0.96,SOUTH,fallback_2h
CORALSLR_BESS1,664,48.4,48.4,96.8,48.4,0.96,0.96,NORTH,fallback_2h
CORALSLR_BESS2,664,52.2,52.2,104.4,52.2,0.96,0.96,NORTH,fallback_2h
CORAZON_BESS1,2091,204.8,204.8,819.2,409.6,0.96,0.96,SOUTH,fallback_4h
CTW_BESS1,2112,153.0,153.0,612.0,306.0,0.96,0.96,COASTAL,fallback_4h
COYOTSPR_BESS,467,10.0,10.0,9.9,4.95,0.96,0.96,WEST,eia860
CR_BESS1,1343,9.9,9.9,24.8,12.4,0.96,0.96,HOUSTON,eia860
CS_BESS,1693,9.9,9.9,19.8,9.9,0.96,0.96,HOUSTON,fallback_2h
CROSSTRL_BESS1,2007,58.3,58.3,116.6,58.3,0.96,0.96,WEST,fallback_2h
CROSSETT_BES1,129,101.5,101.5,406.0,203.0,0.96,0.96,WEST,fallback_4h
CROSSETT_BES2,129,101.5,101.5,406.0,203.0,0.96,0.96,WEST,fallback_4h
DA_BESS,2112,5.0,5.0,10.0,5.0,0.96,0.96,COASTAL,fallback_2h
DAN_BESS1,1,77.8,77.8,155.6,77.8,0.96,0.96,SOUTH,fallback_2h
DAN_BESS2,1,75.1,75.1,150.2,75.1,0.96,0.96,SOUTH,fallback_2h
DCSES_BES1,1875,67.3,67.3,134.6,67.3,0.96,0.96,NORTH,fallback_2h
DCSES_BES2,1875,67.3,67.3,134.6,67.3,0.96,0.96,NORTH,fallback_2h
DCSES_BES3,1875,64.2,64.2,128.4,64.2,0.96,0.96,NORTH,fallback_2h
