osm_id,osm_type,name,fuel,mw,operator,lat,lon
604028349,way,Hardin County Peaking Power Facility,gas,150.0,East Texas Electric Cooperative,30.303761,-94.252453
613955261,way,Exelon LaPorte Generating Station,gas,236.0,Exelon,29.702737,-95.071856
614079726,way,San Jacinto Steam Electric Station,gas,176.4,NRG Texas Power LLC,29.695052,-95.041306
689650931,way,Midsouth Synergy Solar,solar,,Midsouth Synergy,30.788225,-95.965795
690742039,way,Dunlap TP 1 Power Plant,hydro,3.6,Guadalupe Blanco River Authority,29.640131,-98.045994
694276571,way,Chamon Power LLC,gas,121.0,"Peaker Power, LLC",29.883575,-95.111076
732209937,way,,solar,,,30.123238,-97.66537
793630216,way,,solar,,,30.233556,-97.593353
793630217,way,,solar,,,30.233516,-97.593332
818970459,way,,,,,29.860928,-95.202708
822266710,way,Rio Nogales Power Project,gas,940.2,CPS Energy,29.592818,-97.972735
829757910,way,,solar,,,30.400838,-97.644615
829775519,way,,solar,,,30.418069,-97.689498
829776672,way,,solar,,,30.415851,-97.691129
840218118,way,BEC Community Solar,solar,1.5,SoCore Energy LLC,29.680388,-99.763718
859454297,way,,solar,,,29.635971,-99.731463
859457098,way,,solar,,,29.705934,-99.329336
859457099,way,,solar,,,29.706344,-99.326531
859457100,way,,solar,,,29.706517,-99.325041
859457101,way,,solar,,,29.70876,-99.326005
859462952,way,,solar,,,29.820178,-99.278254
862087682,way,Paneles solares,solar,,,25.851825,-99.996727
864868778,way,JCO Oxides Olefins Plant,gas,71.0,Indorama Ventures,29.9633,-93.929856
864868780,way,Sabine River Works,gas,548.0,"Performance Materials NA, Inc.",30.055152,-93.757009
913360816,way,Channelview Cogeneration Plant,gas,918.3,EIF Channelview Cogeneration LLC,29.837233,-95.121368
927247714,way,Central Utility Plant,gas,45.1,"Texas A&M, Utilities & Energy Services",30.61811,-96.342775
927255057,way,Rabbit Hill Energy Storage Project,battery,9.9,Rabbit Hill Energy Storage Project,30.5882,-97.684416
931210474,way,Sim Gideon Power Plant,gas,623.0,Lower Colorado River Authority,30.145612,-97.271134
932553749,way,ExxonMobil Beaumont Refinery Power Station,gas,677.8,ExxonMobil Oil Corp,30.062459,-94.076953
