GEOID,population,lat,lng
48029162001,2529,29.2598094,-98.6300606
48029162003,5991,29.2067245,-98.6312964
48029162004,4477,29.2515215,-98.6999037
48029170101,3426,29.4396522,-98.5198167
48029170102,3316,29.4325252,-98.519528
48029170200,4757,29.4216623,-98.5208934
48029170300,5546,29.4218034,-98.5349833
48029170401,4324,29.4409473,-98.5316391
48029170402,4639,29.4342883,-98.5355357
48029170500,4099,29.4492455,-98.5273406
48029170600,4189,29.4519549,-98.5500507
48029170700,4460,29.4432734,-98.550762
48029170800,1521,29.4351384,-98.5479565
48029170900,4249,29.4228064,-98.5483304
48029171000,4890,29.4231609,-98.5596061
48029171100,3438,29.4224602,-98.5686161
48029171200,3949,29.4364001,-98.5656413
48029171301,2659,29.4454139,-98.5673926
48029171302,3841,29.4537275,-98.5705465
48029171401,4319,29.441304,-98.5939349
48029171402,5556,29.443,-98.5819942
48029171501,2563,29.4156577,-98.5812898
48029171502,4914,29.4271258,-98.5800478
48029171601,4284,29.4183531,-98.6198536
48029171602,4456,29.4229398,-98.6080692
48029171700,8091,29.4356221,-98.6260048
48029171801,5301,29.4131166,-98.6393742
48029171802,6092,29.4055402,-98.6352927
48029171903,6750,29.4069074,-98.6551074
48029171912,6855,29.4793032,-98.6874058
48029171913,5184,29.4237379,-98.6717674
48029171914,5236,29.4339755,-98.6811542
48029171915,2095,29.4233968,-98.6839565
48029171916,10592,29.422791,-98.6998498
48029171917,8501,29.4418568,-98.6996727
48029171918,7898,29.455666,-98.700478
48029171919,6377,29.3915743,-98.685098
48029171920,9214,29.4036291,-98.6745032
48029171921,5691,29.3954778,-98.7000893
48029171922,5814,29.4137587,-98.690938
48029171923,9414,29.4550334,-98.6510108
48029171924,7460,29.4616828,-98.6767274
48029171926,3243,29.4445229,-98.6447992
48029171927,12053,29.4293946,-98.6604246
48029171928,5480,29.4714741,-98.6650822
48029171929,3785,29.4648293,-98.655268
48029172002,30199,29.4041314,-98.7598942
48029172003,6416,29.4386563,-98.7237165
48029172004,10601,29.4937936,-98.7632605
48029172005,12319,29.4950924,-98.7264909
48029172006,15271,29.4598135,-98.7848288
48029172008,5744,29.4751236,-98.7230674
48029172009,10242,29.4499018,-98.7359575
48029180101,4600,29.4595016,-98.5380224
48029180102,1886,29.4657096,-98.5367807
48029180201,4858,29.4778032,-98.5329344
48029180202,5287,29.4742576,-98.5421228
48029180300,4525,29.466759,-98.5575128
48029180400,4262,29.4626758,-98.5708715
48029180501,4831,29.4702079,-98.5896327
48029180503,4356,29.4606047,-98.5946847
48029180504,4245,29.4521007,-98.5919512
48029180602,2917,29.4777553,-98.5562656
48029180603,2138,29.4848997,-98.5838637
48029180604,5617,29.4812706,-98.5706326
48029180701,4291,29.5007468,-98.5700229
48029180702,6786,29.4936303,-98.5844477
48029180800,2531,29.4928752,-98.5512475
48029180901,5204,29.4968392,-98.5403548
48029180902,7475,29.4990227,-98.5303004
48029181001,3252,29.5121915,-98.5431428
48029181003,6997,29.522265,-98.561316
48029181004,5354,29.5132938,-98.567443
48029181005,4251,29.5023867,-98.55405
48029181100,5818,29.5263791,-98.5502751
48029181200,4844,29.5367965,-98.5392167
48029181301,4290,29.5479597,-98.5597409
48029181302,6263,29.5423236,-98.5638293
