osm_id,osm_type,name,voltage_kv,operator,substation_type,lat,lon
462642540,way,Manor Substation,138.0,Bluebonnet Electric Cooperative,distribution,30.34944,-97.509478
462642546,way,Swiftex Substation,138.0,Lower Colorado River Authority,distribution,30.202597,-97.312695
462642554,way,Elgin Substation,138.0,Oncor,distribution,30.334667,-97.340568
462642680,way,Hillbig Substation,138.0,Lower Colorado River Authority,distribution,30.005561,-97.404409
462642694,way,Wyldwood Substation,138.0,Bluebonnet Electric Cooperative,distribution,30.131097,-97.473733
462642706,way,Stoney Ridge Substation,138.0,Austin Energy,distribution,30.15883,-97.635879
462642719,way,Elroy Substation,138.0,Austin Energy,distribution,30.141291,-97.624574
462642771,way,Dunlap Substation,345.0,Austin Energy,transmission,30.275109,-97.539706
462642773,way,Webberville Solar Substation,138.0,RES America,transmission,30.242647,-97.50266
467847272,way,Alum Creek Substation,138.0,Lower Colorado River Authority,distribution,30.065903,-97.233044
487061712,way,Palmito Substation,345.0,Sharyland Utilities,transmission,25.984442,-97.380154
487230314,way,Laguna Substation,69.0,American Electric Power,distribution,27.648864,-97.291953
487230433,way,Alazan Substation,138.0,American Electric Power,distribution,27.559909,-97.502273
487230550,way,Barney Davis Substation,138.0,American Electric Power,transmission,27.6078,-97.313084
488507818,way,,138.0,,industrial,27.83632,-97.499287
488507828,way,,69.0,,industrial,27.817923,-97.505045
488507833,way,Hearn Road Substation,69.0,American Electric Power,distribution,27.849866,-97.610818
488507904,way,Mayo Substation,138.0,American Electric Power,distribution,27.909413,-97.424636
488507907,way,Midway Substation,69.0,American Electric Power,distribution,27.943954,-97.365391
488507969,way,Gila Substation,138.0,American Electric Power,transmission,27.819774,-97.421084
488507970,way,Nueces Bay Substation,138.0,American Electric Power,transmission,27.820662,-97.418552
488507977,way,Air Liquide Substation,69.0,American Electric Power,industrial,27.814893,-97.477998
488507978,way,Kepler Substation,69.0,American Electric Power,industrial,27.818576,-97.505016
488507982,way,,69.0,,distribution,27.811736,-97.467953
488508005,way,Cantwell Substation,138.0,Valero,industrial,27.811481,-97.444332
488508024,way,,138.0,Citgo,industrial,27.804935,-97.422107
488508026,way,,138.0,Citgo,industrial,27.807913,-97.420226
488508038,way,Industrial Substation,69.0,American Electric Power,distribution,27.808027,-97.431315
488508039,way,,138.0,Citgo,industrial,27.812622,-97.427027
488508062,way,Highway 9 Substation,138.0,American Electric Power,transmission,27.796471,-97.445924
488508094,way,West Oso Substation,138.0,American Electric Power,distribution,27.76615,-97.452185
488508105,way,Javelina Substation,138.0,American Electric Power,industrial,27.805102,-97.457098
488508122,way,Clarkwood Substation,138.0,American Electric Power,distribution,27.820255,-97.535482
488508130,way,Hearn's Ferry Substation,138.0,American Electric Power,industrial,27.83222,-97.537843
488508134,way,,69.0,Valero,industrial,27.816436,-97.479462
488508137,way,,,Valero,industrial,27.815243,-97.480553
488508144,way,,,Valero,industrial,27.815212,-97.484264
488508152,way,Valero East Substation,69.0,American Electric Power,industrial,27.81498,-97.480563
488508156,way,Valero West Substation,69.0,American Electric Power,industrial,27.815133,-97.48335
488508177,way,Koch Upriver Substation,138.0,American Electric Power,transmission,27.827464,-97.524699
488508185,way,,138.0,,industrial,27.811029,-97.596046
488508198,way,Champlin - Citgo West Substation,138.0,American Electric Power,industrial,27.809838,-97.496684
489376535,way,Skidmore Substation,69.0,American Electric Power,distribution,28.255186,-97.676331
489376550,way,Chase Field Substation,69.0,American Electric Power,distribution,28.380552,-97.670802
489376556,way,Clay West Substation,69.0,South Texas Electric Cooperative,distribution,28.251016,-98.198778
489376559,way,West George West Substation,69.0,South Texas Electric Cooperative,distribution,28.287577,-98.21273
489376566,way,Tynan Substation,69.0,American Electric Power,distribution,28.183186,-97.772395
489376567,way,Bee Prison Substation,69.0,South Texas Electric Cooperative,distribution,28.334793,-97.806102
489376571,way,Olmos Substation,69.0,South Texas Electric Cooperative,distribution,28.243845,-97.796033
489376575,way,Mathis Substation,69.0,South Texas Electric Cooperative,distribution,28.160402,-97.861588
