line,edge_betweenness,is_bridge,n_overloaded,max_overload_ratio,total_mw_over_rating,creates_island,category
L1618_3528_345,0.000279,False,191.0,5.9522,28508.53,False,random
L2879_3663_138,0.000403,True,,,,True,random
L3001_3650_345,0.000514,False,192.0,5.952,28456.59,False,random
L598_2801_345,0.003412,False,190.0,5.9527,28419.58,False,random
L862_1860_138,0.000137,False,191.0,5.9522,28475.65,False,random
L2627_2881_138,3.5e-05,True,,,,True,random
L670_1769_138,0.000381,False,191.0,5.9522,28476.81,False,random
L820_2739_345,7e-05,True,,,,True,random
L123_1133_138,0.002374,False,191.0,5.9522,28566.09,False,random
L1003_2292_345,0.000132,False,198.0,6.1089,30433.17,False,random
L2080_2945_138,6.2e-05,False,191.0,5.9522,28499.68,False,random
L2061_3404_345,0.000131,False,191.0,5.9527,28466.57,False,random
L1031_2215_138,0.000211,False,191.0,5.9522,28486.56,False,random
L3207_3309_138,0.000144,False,189.0,5.9523,29311.19,False,random
L2093_2094_138,0.000312,False,192.0,5.9522,28580.46,False,random
L1250_1289_138,0.000778,False,191.0,5.9522,28481.72,False,random
L1509_2122_345,3.5e-05,True,,,,True,random
L1149_1478_138,6.9e-05,False,191.0,5.9523,28481.74,False,random
L1510_3102_138,3e-06,False,191.0,5.9522,28476.93,False,random
L471_3485_138,4.6e-05,False,191.0,5.9522,28476.88,False,random
L1719_1802_138,0.00044,False,191.0,5.9523,28481.92,False,random
L1244_1687_345,0.000253,False,191.0,5.9522,28526.39,False,random
L35_2492_138,7e-05,False,192.0,5.9522,28529.1,False,random
L585_2317_345,1.9e-05,False,191.0,5.9522,28476.85,False,random
L1790_1791_138,4.6e-05,False,191.0,5.9522,28477.4,False,random
L177_1240_138,8.7e-05,False,190.0,5.9523,28685.53,False,random
L1871_3322_345,4.8e-05,False,191.0,5.9522,28479.81,False,random
L2696_2879_138,0.000368,True,,,,True,random
L1122_1679_345,0.001966,False,191.0,5.9522,28475.85,False,random
L2692_3815_138,0.000228,False,191.0,5.9522,28480.69,False,random
L1720_1731_138,0.001622,False,191.0,5.9523,28778.23,False,random
L1695_3002_345,0.001251,False,191.0,5.9524,28523.81,False,random
L674_983_138,0.000182,False,191.0,5.9523,28479.47,False,random
L396_3176_138,4.1e-05,False,191.0,5.9522,28470.12,False,random
L1404_3279_138,8.3e-05,False,191.0,5.9522,28476.49,False,random
L1466_2294_138,0.000295,False,190.0,5.9521,28463.59,False,random
L2288_2289_345,0.000334,True,,,,True,random
L600_3359_138,0.000182,False,191.0,5.9522,28476.95,False,random
L68_1618_345,0.003357,False,191.0,5.9525,29138.7,False,random
L738_2607_138,0.000103,False,192.0,5.9489,28471.11,False,random
L657_3355_138,0.000299,True,,,,True,random
L1892_2958_138,0.000357,False,193.0,5.9522,28700.64,False,random
L702_2025_138,0.000439,False,194.0,6.9459,29135.33,False,random
L1141_1142_138,0.000228,False,191.0,5.9522,28488.57,False,random
L17_1372_345,0.000507,False,191.0,5.9522,28475.75,False,random
L585_1660_345,0.000338,False,191.0,5.9522,28476.8,False,random
L1418_3335_138,0.000216,False,191.0,5.9521,28467.33,False,random
L389_2136_138,7.6e-05,False,192.0,5.9523,28541.15,False,random
L1329_1330_138,2.2e-05,False,191.0,5.9522,28476.64,False,random
L635_2770_138,0.00024,False,191.0,5.9521,28481.47,False,random
L2305_2591_500,3.5e-05,False,191.0,5.9522,28481.56,False,random
L36_3473_345,2e-06,False,191.0,5.9302,28484.14,False,random
L2527_2594_138,0.000507,False,193.0,5.9522,28700.87,False,random
L658_1546_345,0.000605,False,189.0,5.9522,28443.92,False,random
L2451_3772_138,0.000128,False,193.0,5.9521,28678.2,False,random
L1255_3131_138,1e-06,False,191.0,5.9522,28676.68,False,random
L1632_2910_345,0.000702,False,191.0,5.9523,28448.4,False,random
