plant_code,lat,lon,state,grid_voltage_kv,grid_voltage_2_kv,grid_voltage_3_kv,nerc_region,balancing_authority
54308,40.199822,-123.523145,CA,12.0,,,WECC,CISO
54310,40.9,-90.3333,IL,12.0,,,SERC,MISO
54311,34.7,-92.199722,AR,34.0,,,SERC,MISO
54312,39.599722,-89.3,IL,115.0,,,SERC,
54316,33.9397,-77.9905,NC,13.0,,,SERC,CPLE
54318,41.5933,-109.7542,WY,34.5,,,WECC,PACE
54321,29.9728,-94.2142,TX,69.0,,,SERC,MISO
54322,33.487881,-81.99252,GA,13.8,,,SERC,SOCO
54323,33.759167,-84.395,GA,19.8,,,SERC,SOCO
54324,42.0099,-71.6701,RI,345.0,,,NPCC,ISNE
54327,34.146253,-118.30485,CA,34.5,,,WECC,LDWP
54330,29.726017,-95.638249,TX,12.47,,,TRE,ERCO
54333,40.955015,-76.878843,PA,12.47,,,RFC,PJM
54335,40.9692,-81.7756,OH,69.0,,,RFC,PJM
54338,26.269683,-97.867012,TX,12.5,,,TRE,ERCO
54340,45.1025,-83.5189,MI,34.5,,,RFC,MISO
54341,45.0933,-83.5025,MI,34.5,,,RFC,MISO
54342,45.0717,-83.4381,MI,34.5,,,RFC,MISO
54343,36.4156,-119.0069,CA,66.0,,,WECC,CISO
54347,27.9389,-82.4389,FL,13.2,,,SERC,TEC
54349,36.2253,-114.8783,NV,69.0,,,WECC,NEVP
54350,36.343229,-114.920686,NV,138.0,,,WECC,NEVP
54355,44.49,-73.1875,VT,13.8,,,NPCC,ISNE
54358,33.328259,-81.953078,GA,13.8,,,SERC,SOCO
54360,39.77896,-88.901629,IL,138.0,,,SERC,MISO
54363,35.3264,-81.6292,NC,480.0,,,SERC,DUK
54364,34.003489,-98.553539,TX,138.0,,,TRE,ERCO
54365,27.87082,-81.825061,FL,69.0,,,SERC,FPC
54372,40.00759,-105.269204,CO,13.8,,,WECC,PSCO
54374,41.77952,-107.10972,WY,230.0,,,WECC,PACE
54384,43.1897,-71.7483,NH,34.5,,,NPCC,ISNE
54385,41.3686,-73.0856,CT,13.8,,,NPCC,ISNE
54386,43.425228,-114.025597,ID,14.5,,,WECC,IPCO
54387,47.43348,-121.6483,WA,34.5,,,WECC,PSEI
54390,18.992222,-155.668056,HI,115.0,,,,
54391,44.519153,-73.464752,NY,23.0,,,NPCC,NYIS
54392,33.93,-84.2378,GA,25.0,,,SERC,SOCO
54394,44.027444,-112.719439,ID,25.0,,,WECC,PACE
54395,42.937465,-73.654393,NY,34.5,,,NPCC,NYIS
54406,43.078512,-89.377261,WI,4.16,,,MRO,MISO
54407,43.6233,-88.7297,WI,4.16,,,MRO,MISO
54408,43.07,-89.4006,WI,13.8,,,MRO,MISO
54409,43.701916,-72.286735,NH,13.2,,,NPCC,ISNE
54410,35.440539,-119.012861,CA,115.0,,,WECC,CISO
54414,42.5734,-90.6926,IA,13.8,,,MRO,MISO
54415,44.26169,-85.435224,MI,46.0,,,RFC,MISO
54418,43.236111,-70.817222,NH,13.8,,,NPCC,ISNE
54422,53.8796,-166.5532,AK,12.4,,,,
54426,27.8489,-81.8775,FL,69.0,,,SERC,FPC
54427,30.7811,-89.8575,LA,13.8,,,SERC,MISO
54429,31.5825,-87.4889,AL,115.0,,,SERC,SOCO
54430,30.364444,-81.629722,FL,115.0,,,SERC,
54447,35.354444,-119.6617,CA,12.5,,,WECC,CISO
54449,35.220833,-119.583056,CA,24.0,,,WECC,CISO
54451,33.7686,-118.2867,CA,34.5,,,WECC,LDWP
54452,60.6732,-151.3784,AK,24.8,,,,
54453,38.1167,-121.8333,CA,34.5,,,WECC,CISO
54454,33.918395,-116.573906,CA,12.47,,,WECC,CISO
54457,34.0864,-84.2677,GA,25.0,,,SERC,SOCO
54462,33.477027,-81.982732,GA,480.0,,,SERC,SOCO
54464,32.7714,-83.6281,GA,13.8,,,SERC,SOCO
54466,28.442623,-81.412343,FL,69.0,,,SERC,FPC
54471,43.63369,-72.31744,NH,12.4,,,NPCC,ISNE
54472,41.5417,-109.1328,WY,34.5,,,WECC,PACE
54476,48.9905,-122.2733,WA,115.0,,,WECC,PSEI
54477,39.492,-121.5628,CA,63.0,,,WECC,CISO
54512,29.9468,-90.0018,LA,13.8,,,SERC,MISO
54513,41.7697,-88.28,IL,12.5,,,RFC,PJM
54514,42.69984,-114.822603,ID,34.5,,,WECC,IPCO
54515,42.971653,-71.87268,NH,12.7,,,NPCC,ISNE
54517,37.966389,-120.317777,CA,120.0,,,WECC,CISO
54518,30.4992,-91.1872,LA,230.0,,,SERC,MISO
54520,32.775093,-97.14209,TX,12.5,,,TRE,ERCO
