Bus ID,Bus Name,Sub Name,BaseKV,Bus Type,MW Load,MVAR Load,Area,Sub Area,Zone,lat,lng,osm_id,is_split
1983,OSM_1983,SPL_1983,138.0,PQ,0.0,0.0,4,4,WEST,31.78425,-101.91388,1464956841.0,False
1984,OSM_1984,SPL_1984,138.0,PQ,0.0,0.0,1,1,NORTH,32.26466,-95.06091,1464602566.0,False
1985,OSM_1985,SPL_1985,138.0,PQ,0.0,0.0,4,4,WEST,31.09263,-103.22321,1463208965.0,False
1986,OSM_1986,SPL_1986,345.0,PQ,0.0,0.0,1,1,NORTH,32.39176,-97.48573,1462075735.0,False
1988,OSM_1988,SPL_1988,345.0,PQ,0.0,0.0,4,4,WEST,31.23526,-102.12262,1457381241.0,False
1989,OSM_1989,SPL_1989,345.0,PQ,0.0,0.0,4,4,WEST,31.23872,-102.11656,1457381240.0,False
1990,OSM_1990,SPL_1990,138.0,PQ,0.0,0.0,1,1,NORTH,32.52097,-97.23738,1456798932.0,False
1991,OSM_1991,SPL_1991,138.0,PQ,0.0,0.0,1,1,NORTH,32.5353,-97.25818,1456798929.0,False
1992,OSM_1992,SPL_1992,138.0,PQ,0.0,0.0,1,1,NORTH,32.51331,-97.2756,1456798928.0,False
1993,OSM_1993,SPL_1993,138.0,PQ,0.0,0.0,1,1,NORTH,32.46008,-97.77668,1456796678.0,False
1994,OSM_1994,SPL_1994,138.0,PQ,0.0,0.0,1,1,NORTH,32.46138,-97.8108,1456795684.0,False
1995,OSM_1995,SPL_1995,138.0,PQ,0.0,0.0,1,1,NORTH,32.46019,-97.41656,1456745111.0,False
1996,OSM_1996,SPL_1996,138.0,PQ,0.0,0.0,1,1,NORTH,32.76134,-97.70744,1456739177.0,False
1997,OSM_1997,SPL_1997,138.0,PQ,0.0,0.0,1,1,NORTH,32.74237,-97.7353,1456739175.0,False
1998,OSM_1998,SPL_1998,138.0,PQ,0.0,0.0,1,1,NORTH,32.74235,-97.75662,1456739173.0,False
1999,OSM_1999,SPL_1999,138.0,PQ,0.0,0.0,1,1,NORTH,32.67313,-97.93018,1456732087.0,False
2000,OSM_2000,SPL_2000,138.0,PQ,0.0,0.0,1,1,NORTH,32.59702,-98.09082,1455050986.0,False
2001,OSM_2001,SPL_2001,138.0,PQ,0.0,0.0,1,1,NORTH,32.61853,-98.05541,1455050984.0,False
2002,OSM_2002,SPL_2002,138.0,PQ,0.0,0.0,1,1,NORTH,32.80683,-98.15534,1455048927.0,False
2003,OSM_2003,SPL_2003,138.0,PQ,0.0,0.0,1,1,NORTH,33.02469,-97.68625,1455032883.0,False
2004,OSM_2004,SPL_2004,138.0,PQ,0.0,0.0,1,1,NORTH,33.09939,-97.86537,1455032880.0,False
2005,OSM_2005,SPL_2005,138.0,PQ,0.0,0.0,1,1,NORTH,32.89809,-97.82254,1454964288.0,False
2006,OSM_2006,SPL_2006,138.0,PQ,0.0,0.0,1,1,NORTH,32.67279,-97.58559,1454787789.0,False
2007,OSM_2007,SPL_2007,138.0,PQ,0.0,0.0,1,1,NORTH,32.66296,-97.68598,1454787788.0,False
2008,OSM_2008,SPL_2008,138.0,PQ,0.0,0.0,1,1,NORTH,32.46314,-97.54593,1454783645.0,False
2009,OSM_2009,SPL_2009,138.0,PQ,0.0,0.0,1,1,NORTH,32.43827,-97.68283,1454782639.0,False
2010,OSM_2010,SPL_2010,138.0,PQ,0.0,0.0,1,1,NORTH,32.47569,-97.68671,1454781100.0,False
2011,OSM_2011,SPL_2011,138.0,PQ,0.0,0.0,1,1,NORTH,32.45405,-97.73089,1454780391.0,False
2012,OSM_2012,SPL_2012,138.0,PQ,0.0,0.0,4,4,WEST,32.28564,-101.31304,1454774657.0,False
2013,OSM_2013,SPL_2013,138.0,PQ,0.0,0.0,4,4,WEST,32.49956,-101.67546,1454765015.0,False
2014,OSM_2014,SPL_2014,138.0,PQ,0.0,0.0,4,4,WEST,32.22264,-101.40607,1454736392.0,False
2015,OSM_2015,SPL_2015,138.0,PQ,0.0,0.0,4,4,WEST,31.82871,-101.5851,1454736390.0,False
2016,OSM_2016,SPL_2016,138.0,PQ,0.0,0.0,4,4,WEST,31.8679,-101.74223,1454736386.0,False
2017,OSM_2017,SPL_2017,138.0,PQ,0.0,0.0,4,4,WEST,31.85747,-101.78105,1454736374.0,False
2018,OSM_2018,SPL_2018,138.0,PQ,0.0,0.0,4,4,WEST,31.92322,-102.17896,1454719409.0,False
2019,OSM_2019,SPL_2019,138.0,PQ,0.0,0.0,4,4,WEST,31.51028,-103.55079,1454570265.0,False
2020,OSM_2020,SPL_2020,138.0,PQ,0.0,0.0,4,4,WEST,31.41941,-103.55425,1454570030.0,False
2021,OSM_2021,SPL_2021,138.0,PQ,0.0,0.0,4,4,WEST,31.51299,-103.4502,1454568155.0,False
2022,OSM_2022,SPL_2022,138.0,PQ,0.0,0.0,4,4,WEST,31.87362,-103.8634,1454543118.0,False
2023,OSM_2023,SPL_2023,138.0,PQ,0.0,0.0,4,4,WEST,31.93059,-104.32574,1454543107.0,False
2024,OSM_2024,SPL_2024,138.0,PQ,0.0,0.0,4,4,WEST,31.95125,-104.10072,1454543106.0,False
2025,OSM_2025,SPL_2025,138.0,PQ,0.0,0.0,4,4,WEST,31.84689,-102.71944,1454528456.0,False
2026,OSM_2026,SPL_2026,138.0,PQ,0.0,0.0,4,4,WEST,31.75512,-103.19194,1454527761.0,False
2027,OSM_2027,SPL_2027,138.0,PQ,0.0,0.0,4,4,WEST,31.766,-103.24767,1454527462.0,False
2028,OSM_2028,SPL_2028,138.0,PQ,0.0,0.0,4,4,WEST,31.83403,-103.3011,1454527163.0,False
2029,OSM_2029,SPL_2029,138.0,PQ,0.0,0.0,4,4,WEST,31.79388,-103.25615,1454527160.0,False
2030,OSM_2030,SPL_2030,138.0,PQ,0.0,0.0,4,4,WEST,31.76995,-103.26936,1454527158.0,False
2031,OSM_2031,SPL_2031,138.0,PQ,0.0,0.0,4,4,WEST,31.76855,-103.27222,1454527155.0,False
2032,OSM_2032,SPL_2032,138.0,PQ,0.0,0.0,4,4,WEST,32.7452,-98.90613,1454058101.0,False
