GEN UID,Bus ID,Unit Group,Unit Type,Fuel,PMin MW,PMax MW,Min Down Time Hr,Min Up Time Hr,Ramp Rate MW/Min,Start Time Cold Hr,Start Time Warm Hr,Start Time Hot Hr,Start Heat Cold MBTU,Start Heat Warm MBTU,Start Heat Hot MBTU,Fuel Price $/MMBTU,Fixed Cost($/hr),MW Break 1,MWh Price 1
MEXIA_MEXIA,1324,Solar,S,Solar,0.0,4.0,0,0,4.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.01
MEXIA1_MEXIA1,615,Solar,S,Solar,0.0,4.0,0,0,4.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.01
MEXIA2_MEXIA2,615,Solar,S,Solar,0.0,4.0,0,0,4.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.01
MISAE_UNIT1,3440,Solar,S,Solar,0.0,121.4,0,0,121.4,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.01
MISAE_UNIT2,3440,Solar,S,Solar,0.0,118.6,0,0,118.6,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.01
MLKF1_MALAKOFF1,3265,Solar,S,Solar,0.0,5.0,0,0,5.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.01
MLKF2_MALAKOFF2,3265,Solar,S,Solar,0.0,5.0,0,0,5.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.01
MROW_SLR_SOLAR1,3436,Solar,S,Solar,0.0,202.2,0,0,202.2,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.01
MUSTNGCK_SOLAR1,3,Solar,S,Solar,0.0,61.0,0,0,61.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.01
MUSTNGCK_SOLAR2,3,Solar,S,Solar,0.0,91.3,0,0,91.3,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.01
NEBULA_UNIT1,539,Solar,S,Solar,0.0,137.5,0,0,137.5,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.01
NOBLESLR_SOLAR1,3550,Solar,S,Solar,0.0,148.8,0,0,148.8,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.01
NOBLESLR_SOLAR2,3550,Solar,S,Solar,0.0,130.2,0,0,130.2,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.01
NGNSVL_NGAINESV,3564,Solar,S,Solar,0.0,5.2,0,0,5.2,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.01
OBERON_UNIT_1,3680,Solar,S,Solar,0.0,180.0,0,0,180.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.01
OCI_ALM1_UNIT1,2159,Solar,S,Solar,0.0,39.2,0,0,39.2,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.01
STHWG_UNIT1,2218,Solar,S,Solar,0.0,4.4,0,0,4.4,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.01
WALZM_UNIT1,2218,Solar,S,Solar,0.0,5.5,0,0,5.5,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.01
ECLIPSE_UNIT1,1788,Solar,S,Solar,0.0,37.6,0,0,37.6,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.01
HELIOS_UNIT1,1367,Solar,S,Solar,0.0,100.0,0,0,100.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.01
SIRIUS_UNIT1,965,Solar,S,Solar,0.0,110.2,0,0,110.2,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.01
SOLARA_UNIT1,983,Solar,S,Solar,0.0,112.0,0,0,112.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.01
OGS_SLR_UNIT1,1111,Solar,S,Solar,0.0,130.6,0,0,130.6,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.01
OUTP_SLR_UNIT1,3157,Solar,S,Solar,0.0,258.0,0,0,258.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.01
OUTP_SLR_UNIT2,3157,Solar,S,Solar,0.0,259.1,0,0,259.1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.01
PAR_UNIT1,2741,Solar,S,Solar,0.0,243.2,0,0,243.2,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.01
PAR_UNIT2,2741,Solar,S,Solar,0.0,240.2,0,0,240.2,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.01
PEGASUS_PEGASUS,205,Solar,S,Solar,0.0,10.0,0,0,10.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.01
PERE_SLR_UNIT1,2833,Solar,S,Solar,0.0,152.8,0,0,152.8,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.01
PERE_SLR_UNIT2,2833,Solar,S,Solar,0.0,148.3,0,0,148.3,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.01
PHOEBE_UNIT1,3709,Solar,S,Solar,0.0,125.1,0,0,125.1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.01
PHOEBE_UNIT2,3709,Solar,S,Solar,0.0,128.1,0,0,128.1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.01
PHOENIX_UNIT1,3645,Solar,S,Solar,0.0,83.9,0,0,83.9,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.01
PISGAH_SOLAR1,3419,Solar,S,Solar,0.0,189.4,0,0,189.4,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.01
PISGAH_SOLAR2,3419,Solar,S,Solar,0.0,64.4,0,0,64.4,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.01
PITTSDDK_UNIT1,2930,Solar,S,Solar,0.0,49.6,0,0,49.6,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.01
PLN_UNIT1,2739,Solar,S,Solar,0.0,270.0,0,0,270.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.01
PLN_UNIT2,2739,Solar,S,Solar,0.0,270.0,0,0,270.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.01
PORT_SLR_UNIT1,3550,Solar,S,Solar,0.0,245.8,0,0,245.8,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.01
PFK_PFKPV,2256,Solar,S,Solar,0.0,2.6,0,0,2.6,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.01
PROSPERO_UNIT1,3681,Solar,S,Solar,0.0,153.6,0,0,153.6,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.01
PROSPERO_UNIT2,3681,Solar,S,Solar,0.0,150.0,0,0,150.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.01
PRSPERO2_UNIT1,3681,Solar,S,Solar,0.0,126.5,0,0,126.5,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.01
PRSPERO2_UNIT2,3681,Solar,S,Solar,0.0,126.4,0,0,126.4,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.01
QUEEN_SL_SOLAR1,205,Solar,S,Solar,0.0,102.5,0,0,102.5,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.01
QUEEN_SL_SOLAR2,205,Solar,S,Solar,0.0,102.5,0,0,102.5,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.01
QUEEN_SL_SOLAR3,205,Solar,S,Solar,0.0,97.5,0,0,97.5,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.01
QUEEN_SL_SOLAR4,205,Solar,S,Solar,0.0,107.5,0,0,107.5,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.01
RADN_SLR_UNIT1,1862,Solar,S,Solar,0.0,161.4,0,0,161.4,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.01
RADN_SLR_UNIT2,1862,Solar,S,Solar,0.0,166.0,0,0,166.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.01
RAMBLER_UNIT1,3706,Solar,S,Solar,0.0,211.2,0,0,211.2,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.01
RATLIFF_SOLAR1,3706,Solar,S,Solar,0.0,162.4,0,0,162.4,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.01
REROCK_UNIT1,876,Solar,S,Solar,0.0,78.8,0,0,78.8,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.01
REROCK_UNIT2,876,Solar,S,Solar,0.0,78.8,0,0,78.8,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.01
REDBARN_UNIT_1,823,Solar,S,Solar,0.0,222.0,0,0,222.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.01
REDBARN_UNIT_2,823,Solar,S,Solar,0.0,28.0,0,0,28.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.01
COSERVSS_CSS1,3550,Solar,S,Solar,0.0,2.0,0,0,2.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.01
DP24X001_RETAMADG,1574,Solar,S,Solar,0.0,1.8,0,0,1.8,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.01
RIGGINS_UNIT1,207,Solar,S,Solar,0.0,155.4,0,0,155.4,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.01
RIPPEY_UNIT1,3564,Solar,S,Solar,0.0,59.8,0,0,59.8,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.01
ROW_UNIT1,3014,Solar,S,Solar,0.0,101.7,0,0,101.7,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.01
ROW_UNIT2,3014,Solar,S,Solar,0.0,200.7,0,0,200.7,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.01
SIG_SLR_UNIT1,2914,Solar,S,Solar,0.0,51.6,0,0,51.6,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.01
LASSO_UNIT1,815,Solar,S,Solar,0.0,50.0,0,0,50.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.01
SPARTA_UNIT1,1111,Solar,S,Solar,0.0,147.5,0,0,147.5,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.01
SPARTA_UNIT2,1111,Solar,S,Solar,0.0,104.9,0,0,104.9,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.01
SPTX12B_UNIT1,205,Solar,S,Solar,0.0,157.5,0,0,157.5,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.01
