UID,From Bus,To Bus,R,X,B,Cont Rating
L580_2311,580,2311,0.0,0.00111753,0.0,2400
L1578_2115,1578,2115,0.0,0.01492965,0.0,2400
L1522_1761,1522,1761,0.0,0.0029979,0.0,2400
L182_2320,182,2320,0.0,0.0063067,0.0,2400
L1605_3062,1605,3062,0.0,0.01252969,0.0,999999
L2113_3019,2113,3019,0.0,0.00254446,0.0,2400
L1622_3103,1622,3103,0.0,0.00235039,0.0,999999
L3111_3112,3111,3112,0.0,0.00010165,0.0,999999
L1637_1638,1637,1638,0.0,0.02009741,0.0,2400
L3048_3049,3048,3049,0.0,0.02101071,0.0,999999
L3041_3044,3041,3044,0.0,0.00028734,0.0,999999
L2279_3137,2279,3137,0.0,0.00047344,0.0,999999
L1409_1807,1409,1807,0.0,0.00405571,0.0,2400
L1754_3083,1754,3083,0.0,0.01339037,0.0,999999
L2984_3012,2984,3012,0.0,0.00161963,0.0,2400
L2312_3072,2312,3072,0.0,0.00524348,0.0,999999
L2064_2282,2064,2282,0.0,0.0031652,0.0,2400
L3061_3070,3061,3070,0.0,0.00015454,0.0,999999
L1558_3122,1558,3122,0.0,0.00705688,0.0,999999
L182_2137,182,2137,0.0,0.00359682,0.0,2400
L44_491,44,491,0.0,0.01700336,0.0,2400
L1691_1837,1691,1837,0.0,0.00398894,0.0,2400
L3086_3103,3086,3103,0.0,0.00012592,0.0,999999
L1615_3105,1615,3105,0.0,0.00136335,0.0,999999
L1847_2534,1847,2534,0.0,0.00699362,0.0,999999
L2229_2274,2229,2274,0.0,0.0019156,0.0,2400
L2366_2382,2366,2382,0.0,0.00403839,0.0,2400
L1623_3086,1623,3086,0.0,0.00741965,0.0,999999
L2061_2062,2061,2062,0.0,0.00116257,0.0,2400
L1511_1937,1511,1937,0.0,0.00823994,0.0,2400
L788_2282,788,2282,0.0,0.02371528,0.0,2400
L1554_1555,1554,1555,0.0,0.00193302,0.0,2400
L792_3130,792,3130,0.0,0.01001758,0.0,999999
L1738_1739,1738,1739,0.0,0.00093815,0.0,2400
L4_819,4,819,0.0,0.0262635,0.0,2400
L19_2062,19,2062,0.0,0.00023752,0.0,999999
L1487_2372,1487,2372,0.0,0.01678645,0.0,2400
L643_1525,643,1525,0.0,0.00248655,0.0,2400
L2042_3079,2042,3079,0.0,0.00020252,0.0,999999
L202_1613,202,1613,0.0,0.00645684,0.0,2400
L1578_1605,1578,1605,0.0,0.01525236,0.0,2400
L1522_1770,1522,1770,0.0,0.00365848,0.0,2400
L808_1606,808,1606,0.0,0.01010358,0.0,2400
L94_3056,94,3056,0.0,0.00396527,0.0,999999
L2409_2410,2409,2410,0.0,0.00011555,0.0,999999
L832_1604,832,1604,0.0,0.0135526,0.0,2400
L345_346,345,346,0.0,0.0030056,0.0,2400
L577_578,577,578,0.0,0.00362484,0.0,2400
L1623_2352,1623,2352,0.0,0.01686017,0.0,2400
L837_2448,837,2448,0.0,0.00073558,0.0,2400
L1525_1527,1525,1527,0.0,0.00320767,0.0,2400
L2506_2507,2506,2507,0.0,0.00418887,0.0,2400
L791_1633,791,1633,0.0,0.00946921,0.0,2400
L68_2385,68,2385,0.0,0.01643941,0.0,2400
L3130_3131,3130,3131,0.0,9.858e-05,0.0,999999
L1567_1909,1567,1909,0.0,0.03116326,0.0,2400
L2959_3124,2959,3124,0.0,0.00072858,0.0,999999
L837_1578,837,1578,0.0,0.01019852,0.0,2400
L1818_2137,1818,2137,0.0,0.00432051,0.0,2400
L94_331,94,331,0.0,0.00162545,0.0,2400
L2255_3139,2255,3139,0.0,0.00013048,0.0,999999
L1845_2259,1845,2259,0.0,0.01059023,0.0,2400
L1613_1614,1613,1614,0.0,0.00244391,0.0,2400
L1683_1687,1683,1687,0.0,0.00010328,0.0,999999
L809_828,809,828,0.0,0.00425075,0.0,2400
L1919_3104,1919,3104,0.0,0.00232778,0.0,999999
L3122_3123,3122,3123,0.0,0.00426039,0.0,999999
L2415_3142,2415,3142,0.0,0.00569546,0.0,999999
L812_3066,812,3066,0.0,0.00025722,0.0,999999
L117_1505,117,1505,0.0,0.0033328,0.0,2400
L2438_2439,2438,2439,0.0,0.00500729,0.0,2400
L2983_3117,2983,3117,0.0,0.0025751,0.0,999999
L1483_2373,1483,2373,0.0,0.01128829,0.0,2400
L2309_2440,2309,2440,0.0,0.01308016,0.0,2400
L164_3040,164,3040,0.0,0.01310036,0.0,999999
L1546_2576,1546,2576,0.0,0.00031748,0.0,2400
L51_1684,51,1684,0.0,0.00358018,0.0,2400
L1552_1553,1552,1553,0.0,0.00019865,0.0,999999
L1574_2392,1574,2392,0.0,0.00747196,0.0,2400
L1722_1752,1722,1752,0.0,0.0035757,0.0,2400
L1541_1742,1541,1742,0.0,0.0063369,0.0,2400
L830_838,830,838,0.0,0.00271721,0.0,2400
