Date,Hour,Generator,Output,Curtailment
2025-11-05,0,COTPLNS_OLDSETLR,0.0,68.04
2025-11-05,0,OVEJA_G1,0.0,68.04
2025-11-05,0,OVEJA_G2,0.0,68.04
2025-11-05,0,PALMWIND_UNIT1,65.205,0.0
2025-11-05,0,PH1_UNIT1,0.0,49.14
2025-11-05,0,PH1_UNIT2,0.0,49.14
2025-11-05,0,PH2_UNIT1,0.0,42.39
2025-11-05,0,PH2_UNIT2,0.0,43.47
2025-11-05,0,PC_NORTH_PANTHER1,67.14,0.0
2025-11-05,0,PC_SOUTH_PANTHER2,55.485,0.0
2025-11-05,0,PC_SOUTH_PANTH31,48.105,0.0
2025-11-05,0,PC_SOUTH_PANTH32,48.825,0.0
2025-11-05,0,PAP1_PAP1,80.955,0.0
2025-11-05,0,COTTON_PAP2,0.0,90.045
2025-11-05,0,WOODWRD1_WOODWRD1,41.265,0.0
2025-11-05,0,WOODWRD2_WOODWRD2,38.43,0.0
2025-11-05,0,PENA_UNIT1,72.36,0.0
2025-11-05,0,PENA_UNIT2,63.72,0.0
2025-11-05,0,PENA3_UNIT3,45.36,0.0
2025-11-05,0,PEY_UNIT1,68.04,0.0
2025-11-05,0,PIONR_DJ_UNIT1,55.89,0.0
2025-11-05,0,PIONR_DJ_UNIT2,0.0,7.38
2025-11-05,0,PYR_PYRON1,57.825,0.0
2025-11-05,0,PYR_PYRON2,60.705,0.0
2025-11-05,0,RANCHERO_UNIT1,67.5,0.0
2025-11-05,0,RANCHERO_UNIT2,0.0,67.5
2025-11-05,0,RSNAKE_G1,49.14,0.0
2025-11-05,0,RSNAKE_G2,49.14,0.0
2025-11-05,0,RDCANYON_RDCNY1,40.32,0.0
2025-11-05,0,RELOJ_UNIT1,24.93,0.0
2025-11-05,0,RELOJ_UNIT2,21.6,0.0
2025-11-05,0,RELOJ_UNIT3,37.395,0.0
2025-11-05,0,RELOJ_UNIT4,10.26,0.0
2025-11-05,0,RRC_WIND_UNIT1,0.0,42.345
2025-11-05,0,RRC_WIND_UNIT2,0.0,12.915
2025-11-05,0,RRC_WIND_UNIT3,0.0,56.655
2025-11-05,0,FERMI_WIND1,54.855,0.0
2025-11-05,0,FERMI_WIND2,0.0,12.33
2025-11-05,0,TKWSW1_ROSCOE,51.3,0.0
2025-11-05,0,TKWSW1_ROSCOE2A,42.75,0.0
2025-11-05,0,ROUTE_66_WIND1,0.0,67.5
2025-11-05,0,RTS2_U1,0.0,40.455
2025-11-05,0,RTS2_U2,0.0,40.455
2025-11-05,0,RTS_U1,0.0,72.0
2025-11-05,0,SAGEDRAW_UNIT1,0.0,76.14
2025-11-05,0,SAGEDRAW_UNIT2,0.0,76.14
2025-11-05,0,SALTFORK_UNIT1,0.0,28.8
2025-11-05,0,SALTFORK_UNIT2,0.0,49.5
2025-11-05,0,SANROMAN_WIND_1,42.885,0.0
2025-11-05,0,MCDLD_SB1_2,32.13,0.0
2025-11-05,0,MCDLD_SB3_282,6.345,0.0
2025-11-05,0,MCDLD_SB4_G87,1.8,0.0
2025-11-05,0,SENATEWD_UNIT1,0.0,67.5
2025-11-05,0,EXGNSND_WIND_1,35.1,0.0
2025-11-05,0,S_HILLS_UNIT1,0.0,13.59
2025-11-05,0,SHAFFER_UNIT1,101.745,0.0
2025-11-05,0,SHAMROCK_UNIT1,73.9245,17.4705
2025-11-05,0,SHAMROCK_UNIT2,0.0,9.405
2025-11-05,0,SHANNONW_UNIT_1,91.845,0.0
2025-11-05,0,SHEEPCRK_UNIT1,0.0,67.5
2025-11-05,0,KEO_SHRBINO2,59.4,0.0
2025-11-05,0,FLTCK_SSI,0.0,23.76
2025-11-05,0,SPLAIN1_WIND1,0.0,45.9
2025-11-05,0,SPLAIN1_WIND2,0.0,44.1
2025-11-05,0,SPLAIN2_WIND21,0.0,66.825
2025-11-05,0,SPLAIN2_WIND22,0.0,68.31
2025-11-05,0,STWF_T1,45.54,0.0
2025-11-05,0,SSPURTWO_WIND_1,0.0,72.45
2025-11-05,0,SSPURTWO_SS3WIND2,0.0,44.1
2025-11-05,0,SSPURTWO_SS3WIND1,0.0,43.2
2025-11-05,0,SWEC_G1,13.1413,42.4787
2025-11-05,0,STELLA_UNIT1,90.45,0.0
2025-11-05,0,SRWE1_UNIT1,96.21,0.0
2025-11-05,0,SRWE1_SRWE2,74.925,0.0
2025-11-05,0,SWEETWND_WND1,19.125,0.0
2025-11-05,0,SWEETWN2_WND24,7.56,0.0
2025-11-05,0,SWEETWN2_WND2,49.86,0.0
2025-11-05,0,SWEETWN3_WND3A,15.12,0.0
2025-11-05,0,SWEETWN3_WND3B,53.37,0.0
2025-11-05,0,SWEETWN4_WND4A,56.25,0.0
2025-11-05,0,SWEETWN4_WND4B,50.4,0.0
2025-11-05,0,SWEETWN5_WND5,38.25,0.0
2025-11-05,0,TAHOKA_UNIT_1,0.0,67.5
2025-11-05,0,TAHOKA_UNIT_2,0.0,67.5
2025-11-05,0,SGMTN_SIGNALMT,12.465,0.0
2025-11-05,0,TRUSGILL_UNIT1,0.0,18.9
2025-11-05,0,TRUSGILL_UNIT2,0.0,20.16
2025-11-05,0,TRUSGILL_UNIT3,0.0,18.9
2025-11-05,0,TRUSGILL_UNIT4,0.0,93.24
2025-11-05,0,TORR_UNIT1_25,67.05,0.0
2025-11-05,0,TORR_UNIT2_23,10.35,0.0
2025-11-05,0,TORR_UNIT2_25,57.6,0.0
2025-11-05,0,TRENT_TRENT,17.235,0.0
2025-11-05,0,TRENT_UNIT_1B,7.02,0.0
2025-11-05,0,TRENT_UNIT_2,22.725,0.0
2025-11-05,0,TRENT_UNIT_3A,17.235,0.0
2025-11-05,0,TRENT_UNIT_3B,6.21,0.0
2025-11-05,0,TRINITY_TH1_BUS1,0.0,46.53
2025-11-05,0,TRINITY_TH1_BUS2,0.0,42.57
2025-11-05,0,ROSC2_1UNIT,0.9,0.0
2025-11-05,0,TTWEC_G1,0.0,78.57
2025-11-05,0,TYLRWIND_UNIT1,56.52,0.0
2025-11-05,0,VENADO_UNIT1,47.25,0.0
2025-11-05,0,VENADO_UNIT2,43.47,0.0
2025-11-05,0,VERAWIND_UNIT1,0.0,5.4
2025-11-05,0,VERAWIND_UNIT2,0.0,3.24
2025-11-05,0,VERAWIND_UNIT3,0.0,45.36
2025-11-05,0,VERAWIND_UNIT4,0.0,9.9
2025-11-05,0,VERAWIND_UNIT5,0.0,45.36
2025-11-05,0,VERTIGO_WIND_I,0.0,67.5
2025-11-05,0,VORTEX_WIND1,0.0,69.12
2025-11-05,0,VORTEX_WIND2,0.0,10.89
2025-11-05,0,VORTEX_WIND3,0.0,71.28
2025-11-05,0,VORTEX_WIND4,0.0,6.3
2025-11-05,0,WAKEWE_G1,0.0,51.705
2025-11-05,0,WAKEWE_G2,0.0,64.08
2025-11-05,0,TRUENO_UNIT1,52.47,0.0
2025-11-05,0,TRUENO_UNIT2,55.44,0.0
2025-11-05,0,AJAXWIND_UNIT1,0.0,101.52
2025-11-05,0,AJAXWIND_UNIT2,0.0,63.45
2025-11-05,0,WEC_WECG1,0.0,26.91
2025-11-05,0,EXGNWTL_WIND_1,41.535,0.0
2025-11-05,0,WHMESA_UNIT1,0.0,68.535
2025-11-05,0,WHMESA_UNIT2_23,0.0,6.255
2025-11-05,0,WHMESA_UNIT2_28,0.0,82.485
2025-11-05,0,WHMESA_UNIT3_23,0.0,8.37
2025-11-05,0,WHMESA_UNIT3_28,0.0,59.625
2025-11-05,0,SALVTION_UNIT1,56.25,0.0
2025-11-05,0,SALVTION_UNIT2,56.25,0.0
2025-11-05,0,WL_RANCH_UNIT1,0.0,89.775
2025-11-05,0,WNDTHST2_UNIT1,0.0,30.42
2025-11-05,0,MOZART_WIND_1,13.5,0.0
2025-11-05,0,WHTTAIL_WR1,54.675,0.0
2025-11-05,0,YNG_WND_UNIT1,86.85,0.0
2025-11-05,0,YNG_WND_UNIT2,67.005,0.0
2025-11-05,0,YNG_WND_UNIT3,65.745,0.0
2025-11-05,0,ANCHOR_WIND1,7.2,0.0
2025-11-05,0,BAIRDWND_UNIT1,87.75,0.0
2025-11-05,0,BAIRDWND_UNIT2,65.25,0.0
2025-11-05,0,BIGSAMWD_UNIT1,0.0,59.805
2025-11-05,0,BIGSAMWD_UNIT2,0.0,59.625
2025-11-05,0,BOARDCRK_UNIT1,48.96,0.0
2025-11-05,0,BOARDCRK_UNIT2,85.68,0.0
2025-11-05,0,CANYONWD_UNIT1,65.97,0.0
2025-11-05,0,CANYONWD_UNIT2,1.125,0.0
2025-11-05,0,CANYONWD_UNIT3,26.64,0.0
2025-11-05,0,CANYONWD_UNIT4,9.09,0.0
2025-11-05,0,CANYONWD_UNIT5,30.465,0.0
2025-11-05,0,CANYONWD_UNIT6,5.67,0.0
2025-11-05,0,COYOTE_W_UNIT1,40.5,0.0
2025-11-05,0,COYOTE_W_UNIT2,11.97,0.0
2025-11-05,0,COYOTE_W_UNIT3,56.7,0.0
2025-11-05,0,ELSAUZ_UNIT1,68.85,0.0
2025-11-05,0,ELSAUZ_UNIT2,66.825,0.0
2025-11-05,0,FOXTROT_UNIT1,58.59,0.0
2025-11-05,0,FOXTROT_UNIT2,37.8,0.0
2025-11-05,0,FOXTROT_UNIT3,24.3,0.0
2025-11-05,0,HARALD_UNIT1,72.945,0.0
2025-11-05,0,LACASAWD_UNIT1,5.58,0.0
2025-11-05,0,LACASAWD_UNIT2,59.985,0.0
2025-11-05,0,LACASAWD_UNIT3,1.215,0.0
2025-11-05,0,MAG_UNIT1,43.875,0.0
2025-11-05,0,MAG_UNIT2,45.9,0.0
2025-11-05,0,MARYNEAL_UNIT1,82.08,0.0
2025-11-05,0,MONTECR1_WIND1,105.525,0.0
2025-11-05,0,PCT_UNIT1,106.2,0.0
2025-11-05,0,PHILLWND_UNIT1,0.0,68.85
2025-11-05,0,PHILLWND_UNIT2,0.0,66.15
2025-11-05,0,PRIDDY_UNIT1,84.24,0.0
2025-11-05,0,PRIDDY_UNIT2,51.84,0.0
2025-11-05,0,WH_WIND_UNIT1,94.23,0.0
2025-11-05,0,WH_WIND_UNIT2,94.275,0.0
2025-11-05,0,WILDWIND_UNIT1,0.0,8.28
2025-11-05,0,WILDWIND_UNIT2,0.0,21.6
2025-11-05,0,WILDWIND_UNIT3,0.0,2.835
2025-11-05,0,WILDWIND_UNIT4,0.0,24.57
2025-11-05,0,WILDWIND_UNIT5,0.0,23.76
2025-11-05,0,7RNCHSLR_UNIT1,0.0,6.975
2025-11-05,0,7RNCHSLR_UNIT2,0.0,4.775
2025-11-05,0,7RNCHSLR_UNIT3,0.0,0.28
2025-11-05,0,AIRPRTRD_LONEWOLFE,0.05,0.0
2025-11-05,0,ALEXIS_ALEXIS,0.5,0.0
2025-11-05,0,ANDMDSLR_UNIT1,7.94,0.0
2025-11-05,0,ANDMDSLR_UNIT2,8.12,0.0
2025-11-05,0,ANG_SLR_UNIT1,0.0,9.77
2025-11-05,0,ANSON1_UNIT1,5.04,0.0
2025-11-05,0,ANSON1_UNIT2,5.04,0.0
2025-11-05,0,ARAGORN_UNIT1,9.41,0.0
2025-11-05,0,ASCK_SLR_SOLAR1,10.34,0.0
2025-11-05,0,ASCK_SLR_SOLAR2,10.545,0.0
2025-11-05,0,AURO_SLR_UNIT1,0.0,10.085
2025-11-05,0,AZURE_SOLAR1,3.745,0.0
2025-11-05,0,AZURE_SOLAR2,7.675,0.0
2025-11-05,0,CECSOLAR_BECK1,0.05,0.0
2025-11-05,0,SIRIUS_UNIT2,2.5,0.0
2025-11-05,0,BELM_SLR_UNIT1,0.0,10.05
2025-11-05,0,BKVSOLAR_BKVSOLAR1,0.125,0.0
2025-11-05,0,BROOK_1UNIT,0.38,0.0
2025-11-05,0,ELMEN_1UNIT,0.365,0.0
2025-11-05,0,CAPRIDG4_BB_PV,1.5,0.0
2025-11-05,0,CAPRIDG4_BB2_PV1,5.0,0.0
2025-11-05,0,CAPRIDG4_BB2_PV2,0.75,0.0
2025-11-05,0,LMESASLR_UNIT1,5.08,0.0
2025-11-05,0,LMESASLR_IVORY,2.5,0.0
2025-11-05,0,BOVINE_BOVINE,0.25,0.0
2025-11-05,0,BOVINE2_BOVINE2,0.25,0.0
2025-11-05,0,FILESSLR_PV1,0.0,7.305
2025-11-05,0,BRIGHTSD_UNIT1,2.67,0.0
2025-11-05,0,BR_ARROW_UNIT1,6.365,0.0
2025-11-05,0,BR_ARROW_UNIT2,8.695,0.0
2025-11-05,0,BRNSN_BRNSN,0.25,0.0
2025-11-05,0,BRNSN2_BRNSN2,0.25,0.0
2025-11-05,0,CASCADE,0.25,0.0
2025-11-05,0,CASCADE2,0.25,0.0
2025-11-05,0,CASL_GAP_UNIT1,0.0,9.0
2025-11-05,0,CS10_CATAN,0.5,0.0
2025-11-05,0,CHISUM_CHISUM,0.5,0.0
2025-11-05,0,X443PV1_SWRI_PV1,0.25,0.0
