uid,from_bus,to_bus,voltage_kv,length_km,capacity_mva,reactance
L68_1604,68,1604,345.0,29.74,2400.0,0.00799664
L2336_2342,2336,2342,345.0,13.9,2400.0,0.00373771
L1937_2783,1937,2783,345.0,0.66,1200,0.00017656
L2995_3107,2995,3107,345.0,2.56,1200,0.00068724
L804_805,804,805,345.0,8.93,2400.0,0.00240104
L14_836,14,836,345.0,29.11,2400.0,0.00782527
L1570_1571,1570,1571,345.0,66.35,2400.0,0.01783802
L1818_1937,1818,1937,345.0,77.84,2400.0,0.02092848
L126_2372,126,2372,345.0,2.0,2400.0,0.00053727
L862_1488,862,1488,345.0,30.97,2400.0,0.00832725
L2313_3063,2313,3063,345.0,0.49,1200,0.00013241
L794_3139,794,3139,345.0,8.43,1200,0.00226566
L829_838,829,838,345.0,19.81,2400.0,0.00532466
L1515_1517,1515,1517,345.0,22.31,2400.0,0.00599827
L3012_3115,3012,3115,345.0,3.74,1200,0.00100422
L788_1109,788,1109,345.0,51.06,2400.0,0.0137263
L805_2413,805,2413,345.0,16.49,2400.0,0.00443306
L803_2352,803,2352,345.0,15.35,2400.0,0.00412745
L1688_1770,1688,1770,138.0,16.36,2400.0,0.0043991
L1910_3046,1910,3046,345.0,0.7,1200,0.00018711
L1604_1612,1604,1612,345.0,18.17,2400.0,0.00488514
L1570_1590,1570,1590,345.0,119.43,2400.0,0.03210924
L1553_1560,1553,1560,345.0,48.86,2400.0,0.0131348
L822_3065,822,3065,345.0,43.98,1200,0.01182367
L99_1409,99,1409,345.0,15.62,2400.0,0.00419986
L801_1629,801,1629,345.0,9.32,2400.0,0.00250607
L1531_3051,1531,3051,345.0,36.64,1200,0.00985012
L1650_2277,1650,2277,345.0,189.31,2400.0,0.05089545
L1909_3122,1909,3122,345.0,62.5,1200,0.01680371
L1899_1909,1899,1909,345.0,17.71,2400.0,0.00476093
L3119_3120,3119,3120,345.0,0.52,1200,0.00013983
L129_2428,129,2428,345.0,12.78,2400.0,0.0034349
L1895_3078,1895,3078,345.0,0.68,1200,0.00018403
L999_3038,999,3038,345.0,2.3,1200,0.00061718
L2950_2952,2950,2952,138.0,1.49,3600.0,0.00039972
L577_2719,577,2719,345.0,0.77,1200,0.00020569
L991_1606,991,1606,345.0,39.0,2400.0,0.0104852
L3098_3099,3098,3099,345.0,30.89,1200,0.00830417
L806_2415,806,2415,345.0,13.72,2400.0,0.00368754
L2341_3071,2341,3071,345.0,0.66,1200,0.00017832
L1524_1662,1524,1662,345.0,15.73,2400.0,0.00423006
L807_2383,807,2383,345.0,56.82,2400.0,0.01527707
L1598_3109,1598,3109,345.0,34.09,1200,0.00916531
L2414_2415,2414,2415,345.0,4.13,2400.0,0.00111085
L3006_3089,3006,3089,345.0,1.74,1200,0.00046797
L2964_3122,2964,3122,345.0,106.97,1200,0.02876014
L1631_3094,1631,3094,345.0,4.71,1200,0.0012671
L202_808,202,808,345.0,28.83,2400.0,0.00775123
L851_3056,851,3056,345.0,7.74,1200,0.00207974
L1515_1818,1515,1818,345.0,177.75,2400.0,0.04778865
L924_3127,924,3127,345.0,1.33,1200,0.00035889
L177_837,177,837,345.0,1.11,2400.0,0.00029738
L1013_1498,1013,1498,345.0,69.83,2400.0,0.01877499
L514_3067,514,3067,345.0,0.64,1200,0.00017171
L1598_1680,1598,1680,345.0,27.47,2400.0,0.00738616
L129_2341,129,2341,345.0,39.86,2400.0,0.01071751
L1596_1597,1596,1597,345.0,35.8,2400.0,0.00962507
L1650_2308,1650,2308,345.0,33.77,2400.0,0.00907818
L2963_2986,2963,2986,345.0,16.22,2400.0,0.00436131
L1625_1696,1625,1696,345.0,0.61,1200,0.00016533
L520_824,520,824,345.0,7.13,2400.0,0.00191564
L2433_2435,2433,2435,345.0,2.53,2400.0,0.00067954
L1303_3045,1303,3045,345.0,3.76,1200,0.00101047
L999_2286,999,2286,345.0,31.21,2400.0,0.00838961
L1888_3082,1888,3082,345.0,7.87,1200,0.00211509
L3036_3124,3036,3124,345.0,10.66,1200,0.00286702
L1528_2272,1528,2272,345.0,88.84,2400.0,0.02388578
L814_815,814,815,345.0,34.55,2400.0,0.00928948
L2310_2311,2310,2311,345.0,37.91,2400.0,0.01019233
L3069_3070,3069,3070,345.0,0.54,1200,0.00014648
L2050_2051,2050,2051,345.0,7.34,2400.0,0.00197226
