id,name,zone,base_kv,lat,lng,mw_load,gen_mw,gen_fuels
262,Villa_Cavazos_Substation,SOUTH,138.0,26.02191,-97.59785,0.0,0.0,
263,Military_Highway_Substation,SOUTH,138.0,25.93653,-97.53611,0.0,0.0,
264,Los_Fresnos_Substation,SOUTH,138.0,26.07672,-97.52333,0.0,0.0,
265,Laureles_Substation,SOUTH,138.0,26.12269,-97.54732,0.0,0.0,
266,Port_Isabel_Substation,SOUTH,138.0,26.09465,-97.29966,0.0,0.0,
267,Causeway_Substation,SOUTH,138.0,26.07284,-97.20347,0.0,0.0,
268,Union_Carbide_Substation_268,SOUTH,138.0,25.96812,-97.37516,0.0,0.0,
269,Loma_Alta_Substation,SOUTH,138.0,25.97718,-97.38449,0.0,0.0,
270,Titan_Tire_Substation,SOUTH,138.0,25.99466,-97.47803,0.0,0.0,
271,Palo_Alto_Substation,SOUTH,138.0,26.00206,-97.51416,0.0,0.0,
272,Olmito_Substation,SOUTH,138.0,26.00148,-97.5199,0.0,0.0,
273,Highway_511_Substation,SOUTH,138.0,25.93759,-97.40808,0.0,0.0,
274,Coffee_Port_Substation,SOUTH,138.0,25.93804,-97.42627,0.0,0.0,
275,Waterport_Substation,SOUTH,138.0,25.95329,-97.41255,0.0,0.0,
276,North_Weslaco_Substation,SOUTH,138.0,26.22961,-97.99149,0.0,0.0,
277,North_Mercedes_Substation,SOUTH,138.0,26.23051,-97.91182,0.0,0.0,
278,South_Santa_Rosa_Substation,SOUTH,138.0,26.23136,-97.82396,0.0,0.0,
279,Weslaco_Substation,SOUTH,138.0,26.2326,-97.97545,0.0,0.0,
280,Heidelberg_Substation,SOUTH,138.0,26.22855,-97.88762,0.0,0.0,
281,Weslaco_Unit_Substation,SOUTH,138.0,26.15485,-98.00839,0.0,0.0,
282,Wesmer_Substation,SOUTH,138.0,26.1376,-97.94226,0.0,0.0,
283,Rangerville_Substation,SOUTH,138.0,26.11995,-97.72319,0.0,183.2,Solar
285,Haine_Drive_Substation,SOUTH,138.0,26.16719,-97.65089,0.0,0.0,
286,Merett_Substation,SOUTH,138.0,26.27062,-98.17916,0.0,0.0,
287,Pharr_Substation,SOUTH,138.0,26.2655,-98.14804,0.0,0.0,
288,Hall_Acres_Road_Substation,SOUTH,138.0,26.16831,-98.20519,0.0,0.0,
289,Polk_Avenue_Substation,SOUTH,138.0,26.20606,-98.1969,0.0,0.0,
290,Pharr_Substation_290,SOUTH,138.0,26.23726,-98.17422,0.0,0.0,
291,Azteca_Substation,SOUTH,138.0,26.32267,-98.16202,0.0,0.0,
292,Southeast_Edinburg_Substation,SOUTH,138.0,26.28794,-98.14507,0.0,0.0,
293,Aderhold_Substation,SOUTH,138.0,26.30422,-98.08395,0.0,0.0,
294,Elsa_Substation,SOUTH,138.0,26.29275,-98.01043,0.0,536.0,Wind
295,Weslaco_Switching_Station,SOUTH,138.0,26.22939,-98.00874,0.0,0.0,
296,Val_Verde_Substation,SOUTH,138.0,26.234,-98.08054,0.0,0.0,
297,Alberta_Switching_Station,SOUTH,138.0,26.25022,-98.13584,0.0,0.0,
298,North_Alamo_Substation,SOUTH,138.0,26.23098,-98.11342,0.0,0.0,
299,Gandy_Substation,SOUTH,138.0,26.18963,-98.00819,0.0,0.0,
300,Sioux_Substation,SOUTH,138.0,26.20809,-98.05769,0.0,0.0,
301,Doedyns_Substation,SOUTH,138.0,26.21464,-98.14563,0.0,0.0,
302,El_Gato_Substation,SOUTH,138.0,26.16763,-98.09776,0.0,0.0,
303,Mayberry_Substation,SOUTH,138.0,26.18795,-98.32153,0.0,0.0,
304,Sharyland_Substation,SOUTH,138.0,26.20327,-98.28429,0.0,0.0,
305,Taylor_Road_Substation,SOUTH,138.0,26.1766,-98.28096,0.0,0.0,
306,Railroad_DC_Tie,SOUTH,138.0,26.16727,-98.32309,0.0,0.0,
307,South_Mission_Substation,SOUTH,138.0,26.20914,-98.33357,0.0,0.0,
308,Bentsen_Substation,SOUTH,138.0,26.1509,-98.29106,0.0,0.0,
309,South_McAllen_Substation,SOUTH,138.0,26.1607,-98.25168,0.0,0.0,
310,West_McAllen_Substation,SOUTH,138.0,26.2014,-98.25491,0.0,0.0,
311,Hidalgo_Substation,SOUTH,138.0,26.11169,-98.25558,0.0,0.0,
