Bus ID,Bus Name,Sub Name,BaseKV,Bus Type,MW Load,MVAR Load,Area,Sub Area,Zone,lat,lng,osm_id,is_split
513,OSM_513,SPL_513,345.0,PQ,0.0,0.0,5,5,E,42.25444,-74.9952,1217769020.0,False
514,OSM_514,SPL_514,115.0,PQ,0.0,0.0,3,3,C,42.20725,-75.52174,1217767259.0,False
515,OSM_515,SPL_515,115.0,PQ,0.0,0.0,5,5,E,42.08707,-75.4072,1217767258.0,False
516,OSM_516,SPL_516,115.0,PQ,0.0,0.0,4,4,D,44.72547,-75.4417,1215785994.0,False
518,OSM_518,SPL_518,115.0,PQ,0.0,0.0,7,7,G,41.53813,-74.02631,1200899139.0,False
521,OSM_521,SPL_521,115.0,PQ,0.0,0.0,1,1,A,42.85425,-78.86309,1188184659.0,False
524,OSM_524,SPL_524,115.0,PQ,0.0,0.0,7,7,G,41.52955,-74.13915,1163659816.0,False
525,OSM_525,SPL_525,115.0,PQ,0.0,0.0,3,3,C,42.44186,-76.47397,1133979982.0,False
526,OSM_526,SPL_526,115.0,PQ,0.0,0.0,1,1,A,42.99599,-78.7995,1133559976.0,False
527,OSM_527,SPL_527,115.0,PQ,0.0,0.0,3,3,C,42.89599,-75.44961,1124881606.0,False
528,OSM_528,SPL_528,115.0,PQ,0.0,0.0,3,3,C,42.72839,-75.47171,1124879540.0,False
530,OSM_530,SPL_530,115.0,PQ,0.0,0.0,4,4,D,43.91356,-75.69917,1112556501.0,False
531,OSM_531,SPL_531,115.0,PQ,0.0,0.0,4,4,D,44.88877,-74.11687,1112546000.0,False
532,OSM_532,SPL_532,115.0,PQ,0.0,0.0,3,3,C,42.20139,-75.86332,1107718480.0,False
535,OSM_535,SPL_535,115.0,PQ,0.0,0.0,7,7,G,41.76963,-74.73688,1094382758.0,False
537,OSM_537,SPL_537,115.0,PQ,0.0,0.0,7,7,G,41.84762,-74.04714,1089980818.0,False
540,OSM_540,SPL_540,115.0,PQ,0.0,0.0,1,1,A,43.10406,-78.93065,1074065479.0,False
543,OSM_543,SPL_543,115.0,PQ,0.0,0.0,2,2,B,43.11602,-77.68434,1073556058.0,False
544,OSM_544,SPL_544,115.0,PQ,0.0,0.0,2,2,B,43.11285,-77.67745,1073556055.0,False
545,OSM_545,SPL_545,115.0,PQ,0.0,0.0,1,1,A,42.46943,-79.34061,1060050646.0,False
547,OSM_547,SPL_547,115.0,PQ,0.0,0.0,4,4,D,44.70205,-73.38482,1052054054.0,False
548,OSM_548,SPL_548,115.0,PQ,0.0,0.0,5,5,E,42.35886,-74.51038,1032607123.0,False
549,OSM_549,SPL_549,115.0,PQ,0.0,0.0,4,4,D,44.2783,-73.99834,1020876893.0,False
550,OSM_550,SPL_550,115.0,PQ,0.0,0.0,7,7,G,41.71027,-73.93887,1020859247.0,False
551,OSM_551,SPL_551,115.0,PQ,0.0,0.0,2,2,B,42.17239,-76.89798,1009721720.0,False
552,OSM_552,SPL_552,138.0,PQ,0.0,0.0,7,7,G,41.04379,-73.9653,998496432.0,False
553,OSM_553,SPL_553,115.0,PQ,0.0,0.0,3,3,C,42.27566,-75.47855,998481077.0,False
554,OSM_554,SPL_554,115.0,PQ,0.0,0.0,1,1,A,42.90317,-78.76786,995239267.0,False
555,OSM_555,SPL_555,115.0,PQ,0.0,0.0,3,3,C,43.0913,-76.06632,987851194.0,False
557,OSM_557,SPL_557,115.0,PQ,0.0,0.0,6,6,F,42.59768,-73.89613,954776628.0,False
560,OSM_560,SPL_560,115.0,PQ,0.0,0.0,3,3,C,43.31339,-76.41089,890802174.0,False
561,OSM_561,SPL_561,138.0,PQ,0.0,0.0,7,7,G,41.34206,-74.27648,884660321.0,False
562,OSM_562,SPL_562,115.0,PQ,0.0,0.0,6,6,F,42.72068,-73.71459,865693969.0,False
564,OSM_564,SPL_564,115.0,PQ,0.0,0.0,4,4,D,44.21553,-74.98736,843313155.0,False
566,OSM_566,SPL_566,115.0,PQ,0.0,0.0,3,3,C,43.10983,-76.25427,842725829.0,False
568,OSM_568,SPL_568,115.0,PQ,0.0,0.0,1,1,A,42.97681,-78.88985,837221198.0,False
569,OSM_569,SPL_569,115.0,PQ,0.0,0.0,1,1,A,42.98891,-78.91546,837221191.0,False
574,OSM_574,SPL_574,115.0,PQ,0.0,0.0,7,7,G,41.5356,-73.83987,799003816.0,False
575,OSM_575,SPL_575,115.0,PQ,0.0,0.0,7,7,G,41.53439,-73.87778,799003809.0,False
576,OSM_576,SPL_576,115.0,PQ,0.0,0.0,3,3,C,43.08769,-75.28566,781358309.0,False
577,OSM_577,SPL_577,115.0,PQ,0.0,0.0,1,1,A,42.99681,-78.90138,768660459.0,False
578,OSM_578,SPL_578,115.0,PQ,0.0,0.0,7,7,G,41.96455,-73.9949,762954895.0,False
579,OSM_579,SPL_579,115.0,PQ,0.0,0.0,1,1,A,42.83138,-78.84392,736900213.0,False
581,OSM_581,SPL_581,115.0,PQ,0.0,0.0,3,3,C,42.09407,-76.09421,725984585.0,False
582,OSM_582,SPL_582,115.0,PQ,0.0,0.0,3,3,C,42.06762,-75.89532,723293986.0,False
583,OSM_583,SPL_583,115.0,PQ,0.0,0.0,3,3,C,42.07053,-75.97702,723293610.0,False
