GEOID,ALAND,AWATER,ALAND_SQMI,AWATER_SQMI,INTPTLAT,INTPTLONG,POPULATION,LOAD_MW
75477,157013748,1958268,60.623,0.756,33.529909,-95.738073,1172,2.344
75478,138077993,2513125,53.312,0.97,33.176532,-95.358602,947,1.894
75479,131536711,3823918,50.787,1.476,33.618234,-96.333066,1987,3.974
75480,83866352,10602912,32.381,4.094,33.024585,-95.197134,2030,4.0600000000000005
75481,179950457,3416301,69.479,1.319,33.320029,-95.373504,412,0.8240000000000001
75482,809151404,49314503,312.415,19.04,33.167968,-95.608224,25108,50.216
75486,270521429,7099456,104.449,2.741,33.745235,-95.744327,2311,4.622
75487,263401629,3516736,101.7,1.358,33.334851,-95.1615,1846,3.692
75488,303044108,4072015,117.006,1.572,33.778767,-95.996778,747,1.494
75489,3137819,0,1.212,0.0,33.519251,-96.484323,1110,2.22
75490,75874787,200715,29.295,0.077,33.438031,-96.30828,2633,5.266
75491,248058007,720970,95.776,0.278,33.486324,-96.39593,4781,9.562
75492,110827433,130382,42.791,0.05,33.584372,-95.993544,369,0.738
75493,13979386,1701131,5.397,0.657,33.146015,-95.107952,589,1.178
75494,588386751,11824992,227.177,4.566,32.917192,-95.25986,10741,21.482
75495,174359250,752391,67.32,0.29,33.439195,-96.546841,8621,17.242
75496,320237593,629875,123.644,0.243,33.34964,-96.057908,3450,6.9
75497,167474105,47675508,64.662,18.408,32.924728,-95.568154,3963,7.926
75501,246566709,19002427,95.2,7.337,33.371831,-94.139813,35352,70.70400000000001
75503,204132265,6669410,78.816,2.575,33.511837,-94.142254,26843,53.686
75550,226670981,840935,87.518,0.325,33.498221,-94.890845,775,1.55
75551,427485167,17970635,165.053,6.939,33.119332,-94.220491,11268,22.536
75554,424616976,3928731,163.946,1.517,33.553515,-94.780261,2356,4.712
75555,289775774,498657,111.883,0.193,32.939166,-94.142316,1477,2.954
75556,62187058,112558,24.011,0.043,33.154789,-94.062407,1292,2.584
75558,130173822,1828310,50.26,0.706,33.241961,-94.857848,2216,4.432
75559,679955337,10585815,262.532,4.087,33.503694,-94.627358,5263,10.526
75560,205932586,21538427,79.511,8.316,33.185033,-94.36393,1170,2.34
75561,128917394,3770197,49.775,1.456,33.516756,-94.281559,5135,10.27
75562,42887319,0,16.559,0.0,32.925399,-94.248447,133,0.266
75563,418509278,2047174,161.587,0.79,33.002696,-94.383454,4225,8.45
75565,18089306,252986,6.984,0.098,32.938986,-94.074586,419,0.838
75566,124056819,0,47.899,0.0,33.148174,-94.491749,686,1.372
75567,175475806,44059078,67.752,17.011,33.310991,-94.311711,4655,9.31
75568,347325121,3061437,134.103,1.182,33.193211,-94.587279,2350,4.7
75569,7795752,20791,3.01,0.008,33.441821,-94.128591,3554,7.1080000000000005
75570,350243345,3423436,135.23,1.322,33.459359,-94.439042,10703,21.406
75571,268382387,3504326,103.623,1.353,33.207019,-94.77363,2909,5.8180000000000005
75572,186723605,12888500,72.094,4.976,33.225893,-94.127695,3594,7.188
75573,25774101,5676134,9.951,2.192,33.348136,-94.229045,45,0.09
75574,275171943,2884058,106.244,1.114,33.325004,-94.550659,1369,2.738
75601,24062190,0,9.29,0.0,32.508588,-94.723844,15256,30.512
75602,126886932,4611772,48.991,1.781,32.449598,-94.666048,20576,41.152
75603,119860925,7451816,46.279,2.877,32.40305,-94.711177,6452,12.904
