ZCTA,LAT,LON,POP,LOAD_MW
11548,40.812868,-73.627405,2491,4.982
11549,40.717289,-73.602775,2728,5.456
11550,40.701475,-73.621108,57073,114.146
11552,40.692979,-73.652416,25169,50.338
11553,40.706749,-73.592054,26938,53.876
11554,40.720115,-73.558861,37992,75.984
11556,40.719678,-73.58386,0,0.0
11557,40.636083,-73.693921,7950,15.9
11558,40.605357,-73.649046,8435,16.87
11559,40.602924,-73.714434,8265,16.53
11560,40.880757,-73.588724,6850,13.700000000000001
11561,40.589081,-73.648178,37759,75.518
11563,40.657255,-73.673722,21537,43.074
11565,40.675061,-73.671667,8921,17.842
11566,40.663194,-73.554014,33626,67.252
11568,40.786929,-73.596491,4470,8.94
11569,40.589773,-73.582288,1175,2.35
11570,40.666066,-73.638409,27240,54.480000000000004
11572,40.631772,-73.636624,28673,57.346000000000004
11575,40.680422,-73.584877,16799,33.598
11576,40.798032,-73.647275,12606,25.212
11577,40.783256,-73.638876,12120,24.240000000000002
11579,40.844016,-73.644006,5183,10.366
11580,40.6749,-73.702154,41930,83.86
11581,40.651028,-73.715325,21847,43.694
11590,40.755182,-73.574338,47468,94.936
11596,40.759669,-73.642312,10276,20.552
11598,40.630935,-73.712339,13977,27.954
11691,40.601261,-73.761646,68454,136.90800000000002
11692,40.594154,-73.791986,22394,44.788000000000004
11693,40.591662,-73.809668,13029,26.058
11694,40.57827,-73.844762,21258,42.516
11697,40.552684,-73.924526,3527,7.054
11701,40.681433,-73.410099,27264,54.528
11702,40.650697,-73.262218,13963,27.926000000000002
11703,40.732676,-73.325003,16820,33.64
11704,40.717504,-73.358203,39960,79.92
11705,40.745255,-73.054836,8033,16.066
11706,40.722537,-73.252183,67484,134.968
11709,40.906313,-73.558244,6720,13.44
11710,40.671972,-73.531972,35473,70.946
11713,40.776087,-72.942806,8247,16.494
11714,40.742563,-73.486072,22769,45.538000000000004
11715,40.750968,-73.034924,4287,8.574
11716,40.777011,-73.13509,9748,19.496
11717,40.783807,-73.252273,62888,125.776
11718,40.716435,-73.261514,3070,6.140000000000001
11719,40.782186,-72.912084,3209,6.418
11720,40.870331,-73.082113,28773,57.546
11721,40.902425,-73.371427,6258,12.516
11722,40.783056,-73.194911,34139,68.278
11724,40.864322,-73.456406,3089,6.178
11725,40.840492,-73.280815,29229,58.458
11726,40.678993,-73.394445,21012,42.024
11727,40.882068,-73.004019,29262,58.524
11729,40.761136,-73.32526,25597,51.194
11730,40.717339,-73.17023,13335,26.67
11731,40.862632,-73.316932,30951,61.902
11732,40.844738,-73.536885,3505,7.01
11733,40.940235,-73.11278,17000,34.0
11735,40.731546,-73.432692,33299,66.598
11738,40.838208,-73.038185,19364,38.728
11739,40.735692,-73.160908,1307,2.614
11740,40.865398,-73.361296,9321,18.642
11741,40.794894,-73.070326,26245,52.49
11742,40.810074,-73.041409,11968,23.936
11743,40.883412,-73.423563,42636,85.272
11746,40.814268,-73.362276,66518,133.036
11747,40.784162,-73.409813,18795,37.59
11749,40.806766,-73.170926,3315,6.63
11751,40.730486,-73.213924,13399,26.798000000000002
11752,40.757114,-73.174012,8821,17.642
11753,40.789905,-73.540182,13092,26.184
11754,40.885566,-73.249901,17861,35.722
11755,40.857817,-73.116844,12514,25.028000000000002
11756,40.724512,-73.516326,42856,85.712
11757,40.689009,-73.37335,44130,88.26
11758,40.668258,-73.457813,53034,106.068
11762,40.682744,-73.446664,22263,44.526
11763,40.826582,-72.98405,28769,57.538000000000004
11764,40.92986,-72.973063,13633,27.266000000000002
11765,40.882132,-73.558968,871,1.742
11766,40.939219,-73.018666,11018,22.036
11767,40.842949,-73.145216,15051,30.102
11768,40.923631,-73.339309,20903,41.806
11769,40.734504,-73.125222,8299,16.598
11770,40.645867,-73.156498,65,0.13
11771,40.872799,-73.52502,9517,19.034
11772,40.76178,-72.987407,46311,92.622
11776,40.913572,-73.046355,23578,47.156
11777,40.956068,-73.066659,9156,18.312
11778,40.948046,-72.937093,11855,23.71
